count,mean,pct100,pct25,pct50,pct75,time,zoneIds
24,3.27,14.03,1.14,2.1,4.02,2019-03-20,[36509]
60,3.23,14.56,1.42,2.58,3.91,2019-03-21,[36509]
39,2.11,15.06,0.82,1.57,2.24,2019-03-22,[36509]
3,0.99,1.63,0.66,1.09,1.36,2019-03-23,[36509]
33,2.47,8.85,1.32,2.12,3.4,2019-03-24,[36509]
27,2.78,19.21,0.95,1.52,2.57,2019-03-25,[36509]
23,1.53,3.97,0.7,1.54,2.09,2019-03-26,[36509]
29,3.25,25.14,0.9,1.54,2.67,2019-03-27,[36509]
15,1.79,4.67,1.02,1.58,2.22,2019-03-28,[36509]
17,1.94,4.12,1.46,1.91,2.51,2019-03-29,[36509]
20,5.14,67.11,1.04,1.75,2.63,2019-03-30,[36509]
26,1.76,6.28,0.73,1.58,2.02,2019-03-31,[36509]
9,4.62,20.83,1.16,1.64,3.5,2019-04-01,[36509]
18,1.93,8.03,0.7,1.14,2.3,2019-04-02,[36509]
0,,,,0.0,,2019-04-03,[36509]
0,,,,0.0,,2019-04-04,[36509]
0,,,,0.0,,2019-04-05,[36509]
0,,,,0.0,,2019-04-06,[36509]
0,,,,0.0,,2019-04-07,[36509]
12,1.21,3.63,0.2,0.7,1.75,2019-04-08,[36509]
43,1.7,4.7,0.74,1.57,2.38,2019-04-09,[36509]
31,3.49,35.39,0.86,2.27,3.66,2019-04-10,[36509]
39,1.59,3.6,0.94,1.58,2.09,2019-04-11,[36509]
11,1.42,3.73,0.46,1.49,2.1,2019-04-12,[36509]
10,2.27,5.08,1.45,2.1,2.68,2019-04-13,[36509]
9,1.71,7.87,0.27,0.92,2.04,2019-04-14,[36509]
11,2.33,4.26,1.49,2.1,3.12,2019-04-15,[36509]
30,2.02,5.37,1.08,1.58,3.14,2019-04-16,[36509]
17,3.3,30.7,0.79,1.84,2.61,2019-04-17,[36509]
0,,,,0.0,,2019-04-18,[36509]
0,,,,0.0,,2019-04-19,[36509]
0,,,,0.0,,2019-04-20,[36509]
0,,,,0.0,,2019-04-21,[36509]
0,,,,0.0,,2019-04-22,[36509]
0,,,,0.0,,2019-04-23,[36509]
0,,,,0.0,,2019-04-24,[36509]
0,,,,0.0,,2019-04-25,[36509]
0,,,,0.0,,2019-04-26,[36509]
0,,,,0.0,,2019-04-27,[36509]
0,,,,0.0,,2019-04-28,[36509]
0,,,,0.0,,2019-04-29,[36509]
0,,,,0.0,,2019-04-30,[36509]
0,,,,0.0,,2019-05-01,[36509]
0,,,,0.0,,2019-05-02,[36509]
0,,,,0.0,,2019-05-03,[36509]
0,,,,0.0,,2019-05-04,[36509]
0,,,,0.0,,2019-05-05,[36509]
0,,,,0.0,,2019-05-06,[36509]
0,,,,0.0,,2019-05-07,[36509]
0,,,,0.0,,2019-05-08,[36509]
0,,,,0.0,,2019-05-09,[36509]
0,,,,0.0,,2019-05-10,[36509]
