count,mean,pct100,pct25,pct50,pct75,time,zoneIds
4,1.44,2.5,1.06,1.34,1.72,2019-03-20,[36515]
21,26.51,147.56,1.57,2.45,11.44,2019-03-21,[36515]
2,0.59,0.93,0.42,0.59,0.76,2019-03-22,[36515]
4,0.7,1.76,0.33,0.39,0.76,2019-03-23,[36515]
4,3.54,11.82,0.22,1.12,4.45,2019-03-24,[36515]
8,1.31,4.71,0.53,0.96,1.27,2019-03-25,[36515]
66,6.15,31.91,1.11,3.06,8.22,2019-03-26,[36515]
59,4.57,95.89,0.9,1.59,3.13,2019-03-27,[36515]
59,10.89,193.21,0.92,2.07,6.48,2019-03-28,[36515]
0,,,,0.0,,2019-03-29,[36515]
0,,,,0.0,,2019-03-30,[36515]
0,,,,0.0,,2019-03-31,[36515]
0,,,,0.0,,2019-04-01,[36515]
0,,,,0.0,,2019-04-02,[36515]
0,,,,0.0,,2019-04-03,[36515]
0,,,,0.0,,2019-04-04,[36515]
0,,,,0.0,,2019-04-05,[36515]
0,,,,0.0,,2019-04-06,[36515]
0,,,,0.0,,2019-04-07,[36515]
14,2.94,15.95,1.6,1.94,2.79,2019-04-08,[36515]
20,2.22,8.33,0.85,1.59,2.31,2019-04-09,[36515]
12,2.15,3.77,1.13,2.48,3.36,2019-04-10,[36515]
13,1.2,2.74,0.5,1.08,1.9,2019-04-11,[36515]
13,2.69,9.23,1.46,1.95,2.55,2019-04-12,[36515]
12,3.54,12.0,0.83,1.42,5.04,2019-04-13,[36515]
8,1.82,4.65,0.93,1.69,2.22,2019-04-14,[36515]
5,0.82,1.72,0.43,0.81,0.84,2019-04-15,[36515]
16,8.92,113.13,0.85,1.92,2.82,2019-04-16,[36515]
30,2.88,22.29,0.9,1.81,2.6,2019-04-17,[36515]
19,6.32,60.5,0.98,1.99,3.02,2019-04-18,[36515]
3,18.95,54.31,1.26,1.94,28.12,2019-04-19,[36515]
1,2.18,2.18,2.18,2.18,2.18,2019-04-20,[36515]
0,,,,0.0,,2019-04-21,[36515]
2,2.01,2.26,1.89,2.01,2.14,2019-04-22,[36515]
2,1.24,2.22,0.75,1.24,1.73,2019-04-23,[36515]
56,2.12,12.55,0.82,1.58,2.98,2019-04-24,[36515]
7,1.43,2.65,0.76,1.46,1.84,2019-04-25,[36515]
56,11.22,108.5,1.27,3.63,10.85,2019-04-26,[36515]
7,1.9,5.17,1.23,1.41,1.84,2019-04-27,[36515]
8,2.22,4.77,0.6,1.93,3.61,2019-04-28,[36515]
1,1.6,1.6,1.6,1.6,1.6,2019-04-29,[36515]
10,1.22,2.93,0.55,1.09,1.53,2019-04-30,[36515]
15,1.07,2.29,0.78,1.04,1.31,2019-05-01,[36515]
16,3.33,24.51,1.01,1.62,2.6,2019-05-02,[36515]
5,1.67,2.65,1.62,1.71,1.83,2019-05-03,[36515]
8,7.98,20.53,1.97,5.08,11.86,2019-05-04,[36515]
6,2.9,13.32,0.35,0.98,1.6,2019-05-05,[36515]
11,2.36,6.44,1.24,1.97,2.38,2019-05-06,[36515]
40,6.44,77.99,0.42,1.06,1.98,2019-05-07,[36515]
5,1.1,1.63,1.01,1.29,1.51,2019-05-08,[36515]
19,2.46,19.78,0.71,1.36,1.93,2019-05-09,[36515]
84,9.29,144.34,1.0,2.05,5.08,2019-05-10,[36515]
27,10.04,91.49,1.2,3.42,11.16,2019-05-11,[36515]
11,1.04,2.45,0.7,0.99,1.25,2019-05-12,[36515]
8,1.74,2.8,1.33,1.83,2.36,2019-05-13,[36515]
4,1.16,2.01,0.81,1.2,1.56,2019-05-14,[36515]
17,2.21,9.87,0.91,1.08,1.89,2019-05-15,[36515]
11,2.19,13.17,0.45,0.74,2.16,2019-05-16,[36515]
24,3.25,55.07,0.35,1.09,1.5,2019-05-17,[36515]
8,3.23,13.55,1.06,2.22,2.84,2019-05-18,[36515]
14,2.64,12.99,1.31,1.96,2.24,2019-05-19,[36515]
11,3.84,31.83,0.79,1.02,1.31,2019-05-20,[36515]
7,0.66,2.21,0.23,0.25,0.82,2019-05-21,[36515]
28,2.09,7.93,0.52,1.55,2.52,2019-05-22,[36515]
10,2.19,9.77,0.38,1.34,2.74,2019-05-23,[36515]
12,3.36,23.07,0.94,1.8,2.04,2019-05-24,[36515]
9,4.43,14.02,1.99,2.14,4.8,2019-05-25,[36515]
14,1.82,7.28,0.62,1.3,1.97,2019-05-26,[36515]
13,2.31,7.46,1.09,1.9,2.35,2019-05-27,[36515]
3,1.74,2.96,1.13,1.19,2.08,2019-05-28,[36515]
11,1.4,5.67,0.43,0.73,1.78,2019-05-29,[36515]
39,1.31,3.81,0.55,1.06,1.81,2019-05-30,[36515]
44,2.4,30.92,0.46,1.02,1.99,2019-05-31,[36515]
0,,,,0.0,,2019-06-01,[36515]
1,1.0,1.0,1.0,1.0,1.0,2019-06-02,[36515]
0,,,,0.0,,2019-06-03,[36515]
0,,,,0.0,,2019-06-04,[36515]
3,173.93,336.73,92.54,184.62,260.68,2019-06-05,[36515]
0,,,,0.0,,2019-06-06,[36515]
0,,,,0.0,,2019-06-07,[36515]
0,,,,0.0,,2019-06-08,[36515]
0,,,,0.0,,2019-06-09,[36515]
0,,,,0.0,,2019-06-10,[36515]
0,,,,0.0,,2019-06-11,[36515]
1,6.75,6.75,6.75,6.75,6.75,2019-06-12,[36515]
4,14.08,49.51,1.12,2.84,15.8,2019-06-13,[36515]
0,,,,0.0,,2019-06-14,[36515]
0,,,,0.0,,2019-06-15,[36515]
0,,,,0.0,,2019-06-16,[36515]
0,,,,0.0,,2019-06-17,[36515]
0,,,,0.0,,2019-06-18,[36515]
0,,,,0.0,,2019-06-19,[36515]
22,2.07,11.25,0.44,0.72,1.72,2019-06-20,[36515]
52,4.73,138.87,0.55,1.46,2.96,2019-06-21,[36515]
29,2.64,20.24,1.07,1.57,2.62,2019-06-22,[36515]
34,1.52,5.48,0.46,1.41,2.08,2019-06-23,[36515]
151,5.4,127.37,0.57,1.33,3.32,2019-06-24,[36515]
56,23.25,223.94,1.04,6.01,28.76,2019-06-25,[36515]
5,19.42,83.91,0.58,0.58,11.44,2019-06-26,[36515]
13,17.86,70.88,1.99,4.38,29.73,2019-06-27,[36515]
11,55.05,563.77,0.15,0.97,8.56,2019-06-28,[36515]
221,36.16,856.2,1.28,4.94,25.48,2019-06-29,[36515]
66,61.91,1827.65,1.36,5.48,28.55,2019-06-30,[36515]
12,28.01,233.26,0.73,1.22,12.01,2019-07-01,[36515]
35,84.12,900.76,2.09,8.36,37.76,2019-07-02,[36515]
8,0.52,1.26,0.19,0.42,0.8,2019-07-03,[36515]
