count,mean,pct100,pct25,pct50,pct75,time,zoneIds
30,22.41,163.18,3.1,8.32,30.18,2019-03-20,[36505]
36,12.74,74.21,1.84,7.3,15.51,2019-03-21,[36505]
2,8.26,9.6,7.59,8.26,8.93,2019-03-22,[36505]
1,0.1,0.1,0.1,0.1,0.1,2019-03-23,[36505]
16,6.5,34.42,0.9,1.11,7.27,2019-03-24,[36505]
8,8.52,35.88,0.88,1.64,11.52,2019-03-25,[36505]
22,5.77,45.73,0.99,1.92,6.44,2019-03-26,[36505]
36,4.21,20.28,1.39,2.68,5.05,2019-03-27,[36505]
50,5.08,36.47,0.82,2.15,5.59,2019-03-28,[36505]
12,14.09,108.16,1.39,2.34,9.4,2019-03-29,[36505]
10,4.3,24.67,1.03,1.84,3.01,2019-03-30,[36505]
4,2.42,4.13,1.32,2.46,3.57,2019-03-31,[36505]
74,15.64,120.47,2.54,5.32,17.17,2019-04-01,[36505]
115,6.07,55.65,1.27,2.64,7.84,2019-04-02,[36505]
0,,,,0.0,,2019-04-03,[36505]
0,,,,0.0,,2019-04-04,[36505]
0,,,,0.0,,2019-04-05,[36505]
0,,,,0.0,,2019-04-06,[36505]
0,,,,0.0,,2019-04-07,[36505]
1,1.26,1.26,1.26,1.26,1.26,2019-04-08,[36505]
9,6.83,16.4,2.04,5.56,10.97,2019-04-09,[36505]
7,1.34,3.08,0.7,1.06,1.76,2019-04-10,[36505]
0,,,,0.0,,2019-04-11,[36505]
7,13.56,57.71,2.52,4.17,13.75,2019-04-12,[36505]
1,7.85,7.85,7.85,7.85,7.85,2019-04-13,[36505]
1,0.67,0.67,0.67,0.67,0.67,2019-04-14,[36505]
1,1.05,1.05,1.05,1.05,1.05,2019-04-15,[36505]
7,2.28,5.4,0.74,0.86,3.82,2019-04-16,[36505]
5,24.28,111.95,1.57,1.91,4.4,2019-04-17,[36505]
0,,,,0.0,,2019-04-18,[36505]
0,,,,0.0,,2019-04-19,[36505]
0,,,,0.0,,2019-04-20,[36505]
0,,,,0.0,,2019-04-21,[36505]
0,,,,0.0,,2019-04-22,[36505]
0,,,,0.0,,2019-04-23,[36505]
0,,,,0.0,,2019-04-24,[36505]
0,,,,0.0,,2019-04-25,[36505]
0,,,,0.0,,2019-04-26,[36505]
0,,,,0.0,,2019-04-27,[36505]
0,,,,0.0,,2019-04-28,[36505]
0,,,,0.0,,2019-04-29,[36505]
0,,,,0.0,,2019-04-30,[36505]
0,,,,0.0,,2019-05-01,[36505]
0,,,,0.0,,2019-05-02,[36505]
0,,,,0.0,,2019-05-03,[36505]
0,,,,0.0,,2019-05-04,[36505]
0,,,,0.0,,2019-05-05,[36505]
0,,,,0.0,,2019-05-06,[36505]
0,,,,0.0,,2019-05-07,[36505]
0,,,,0.0,,2019-05-08,[36505]
0,,,,0.0,,2019-05-09,[36505]
0,,,,0.0,,2019-05-10,[36505]
0,,,,0.0,,2019-05-11,[36505]
0,,,,0.0,,2019-05-12,[36505]
0,,,,0.0,,2019-05-13,[36505]
0,,,,0.0,,2019-05-14,[36505]
0,,,,0.0,,2019-05-15,[36505]
0,,,,0.0,,2019-05-16,[36505]
0,,,,0.0,,2019-05-17,[36505]
0,,,,0.0,,2019-05-18,[36505]
0,,,,0.0,,2019-05-19,[36505]
0,,,,0.0,,2019-05-20,[36505]
1,0.07,0.07,0.07,0.07,0.07,2019-05-21,[36505]
3,1.17,1.7,0.91,1.27,1.48,2019-05-22,[36505]
0,,,,0.0,,2019-05-23,[36505]
5,7.12,26.58,0.96,3.59,3.64,2019-05-24,[36505]
2,3.33,6.31,1.84,3.33,4.82,2019-05-25,[36505]
4,4.12,9.86,1.92,2.96,5.16,2019-05-26,[36505]
9,6.41,24.39,1.56,2.62,6.19,2019-05-27,[36505]
0,,,,0.0,,2019-05-28,[36505]
9,23.29,161.95,1.04,5.7,9.95,2019-05-29,[36505]
2,10.9,21.4,5.66,10.9,16.15,2019-05-30,[36505]
23,20.35,121.06,2.47,10.4,21.82,2019-05-31,[36505]
0,,,,0.0,,2019-06-01,[36505]
0,,,,0.0,,2019-06-02,[36505]
0,,,,0.0,,2019-06-03,[36505]
0,,,,0.0,,2019-06-04,[36505]
0,,,,0.0,,2019-06-05,[36505]
0,,,,0.0,,2019-06-06,[36505]
0,,,,0.0,,2019-06-07,[36505]
0,,,,0.0,,2019-06-08,[36505]
0,,,,0.0,,2019-06-09,[36505]
0,,,,0.0,,2019-06-10,[36505]
1,2.95,2.95,2.95,2.95,2.95,2019-06-11,[36505]
0,,,,0.0,,2019-06-12,[36505]
0,,,,0.0,,2019-06-13,[36505]
0,,,,0.0,,2019-06-14,[36505]
0,,,,0.0,,2019-06-15,[36505]
0,,,,0.0,,2019-06-16,[36505]
0,,,,0.0,,2019-06-17,[36505]
0,,,,0.0,,2019-06-18,[36505]
0,,,,0.0,,2019-06-19,[36505]
8,9.51,35.9,1.8,3.74,11.27,2019-06-20,[36505]
1,24.97,24.97,24.97,24.97,24.97,2019-06-21,[36505]
0,,,,0.0,,2019-06-22,[36505]
0,,,,0.0,,2019-06-23,[36505]
2,1.08,2.11,0.57,1.08,1.6,2019-06-24,[36505]
7,8.53,25.95,2.13,3.4,12.63,2019-06-25,[36505]
1,16.52,16.52,16.52,16.52,16.52,2019-06-26,[36505]
2,3.43,6.78,1.76,3.43,5.1,2019-06-27,[36505]
1,55.73,55.73,55.73,55.73,55.73,2019-06-28,[36505]
49,7.88,39.84,1.05,5.17,9.46,2019-06-29,[36505]
1,0.92,0.92,0.92,0.92,0.92,2019-06-30,[36505]
1,1.01,1.01,1.01,1.01,1.01,2019-07-01,[36505]
0,,,,0.0,,2019-07-02,[36505]
0,,,,0.0,,2019-07-03,[36505]
0,,,,0.0,,2019-07-04,[36505]
4,3.44,10.92,0.46,1.31,4.29,2019-07-05,[36505]
0,,,,0.0,,2019-07-06,[36505]
2,8.04,10.37,6.87,8.04,9.2,2019-07-07,[36505]
38,6.78,57.56,1.05,2.56,6.97,2019-07-08,[36505]
0,,,,0.0,,2019-07-09,[36505]
7,8.89,36.82,1.85,4.14,8.56,2019-07-10,[36505]
5,19.62,54.54,3.12,5.2,34.04,2019-07-11,[36505]
4,9.57,22.87,4.67,6.92,11.82,2019-07-12,[36505]
0,,,,0.0,,2019-07-13,[36505]
0,,,,0.0,,2019-07-14,[36505]
3,6.39,10.36,4.41,5.16,7.76,2019-07-15,[36505]
14,5.48,10.4,1.62,7.3,8.58,2019-07-16,[36505]
21,19.52,97.0,2.6,5.2,21.56,2019-07-17,[36505]
