count,mean,pct100,pct25,pct50,pct75,time,zoneIds
2,1.2,1.7,0.95,1.2,1.45,2019-03-20,[36511]
9,1.86,7.17,0.92,1.17,1.96,2019-03-21,[36511]
0,,,,0.0,,2019-03-22,[36511]
0,,,,0.0,,2019-03-23,[36511]
2,0.2,0.33,0.14,0.2,0.26,2019-03-24,[36511]
0,,,,0.0,,2019-03-25,[36511]
3,2.28,4.18,1.33,1.43,2.8,2019-03-26,[36511]
0,,,,0.0,,2019-03-27,[36511]
1,11.39,11.39,11.39,11.39,11.39,2019-03-28,[36511]
11,1.96,7.38,0.35,0.85,2.58,2019-03-29,[36511]
8,2.7,8.39,1.11,2.42,3.3,2019-03-30,[36511]
13,4.32,17.12,1.17,2.02,6.27,2019-03-31,[36511]
8,1.28,5.31,0.26,0.88,1.22,2019-04-01,[36511]
93,19.74,322.48,1.55,4.67,14.55,2019-04-02,[36511]
0,,,,0.0,,2019-04-03,[36511]
0,,,,0.0,,2019-04-04,[36511]
0,,,,0.0,,2019-04-05,[36511]
0,,,,0.0,,2019-04-06,[36511]
0,,,,0.0,,2019-04-07,[36511]
6,1.36,2.59,0.59,1.6,1.92,2019-04-08,[36511]
6,1.27,3.34,0.5,0.61,1.93,2019-04-09,[36511]
16,5.05,18.0,1.27,3.06,7.64,2019-04-10,[36511]
1,1.28,1.28,1.28,1.28,1.28,2019-04-11,[36511]
4,1.49,4.84,0.16,0.55,1.88,2019-04-12,[36511]
1,1.05,1.05,1.05,1.05,1.05,2019-04-13,[36511]
0,,,,0.0,,2019-04-14,[36511]
13,7.73,44.76,1.2,1.81,3.55,2019-04-15,[36511]
57,4.43,34.48,0.73,1.97,5.82,2019-04-16,[36511]
9,14.56,60.38,1.05,4.21,14.3,2019-04-17,[36511]
0,,,,0.0,,2019-04-18,[36511]
0,,,,0.0,,2019-04-19,[36511]
0,,,,0.0,,2019-04-20,[36511]
0,,,,0.0,,2019-04-21,[36511]
0,,,,0.0,,2019-04-22,[36511]
0,,,,0.0,,2019-04-23,[36511]
0,,,,0.0,,2019-04-24,[36511]
0,,,,0.0,,2019-04-25,[36511]
0,,,,0.0,,2019-04-26,[36511]
0,,,,0.0,,2019-04-27,[36511]
0,,,,0.0,,2019-04-28,[36511]
0,,,,0.0,,2019-04-29,[36511]
0,,,,0.0,,2019-04-30,[36511]
0,,,,0.0,,2019-05-01,[36511]
0,,,,0.0,,2019-05-02,[36511]
0,,,,0.0,,2019-05-03,[36511]
0,,,,0.0,,2019-05-04,[36511]
0,,,,0.0,,2019-05-05,[36511]
0,,,,0.0,,2019-05-06,[36511]
0,,,,0.0,,2019-05-07,[36511]
0,,,,0.0,,2019-05-08,[36511]
0,,,,0.0,,2019-05-09,[36511]
0,,,,0.0,,2019-05-10,[36511]
0,,,,0.0,,2019-05-11,[36511]
0,,,,0.0,,2019-05-12,[36511]
0,,,,0.0,,2019-05-13,[36511]
0,,,,0.0,,2019-05-14,[36511]
0,,,,0.0,,2019-05-15,[36511]
0,,,,0.0,,2019-05-16,[36511]
0,,,,0.0,,2019-05-17,[36511]
0,,,,0.0,,2019-05-18,[36511]
0,,,,0.0,,2019-05-19,[36511]
0,,,,0.0,,2019-05-20,[36511]
4,2.01,3.12,1.67,2.3,2.64,2019-05-21,[36511]
2,1.67,2.16,1.42,1.67,1.92,2019-05-22,[36511]
1,0.11,0.11,0.11,0.11,0.11,2019-05-23,[36511]
1,0.23,0.23,0.23,0.23,0.23,2019-05-24,[36511]
2,6.41,12.72,3.26,6.41,9.57,2019-05-25,[36511]
6,2.44,8.57,0.62,1.04,2.79,2019-05-26,[36511]
1,0.9,0.9,0.9,0.9,0.9,2019-05-27,[36511]
1,10.17,10.17,10.17,10.17,10.17,2019-05-28,[36511]
8,5.28,15.64,0.62,1.78,9.49,2019-05-29,[36511]
0,,,,0.0,,2019-05-30,[36511]
10,21.05,98.86,3.06,11.75,21.69,2019-05-31,[36511]
30,26.58,146.8,4.08,11.08,40.55,2019-06-01,[36511]
0,,,,0.0,,2019-06-02,[36511]
6,3.14,10.55,0.94,1.56,3.22,2019-06-03,[36511]
59,5.03,73.79,0.92,1.94,4.23,2019-06-04,[36511]
6,0.56,0.84,0.42,0.55,0.75,2019-06-05,[36511]
4,4.73,16.03,0.97,1.04,4.8,2019-06-06,[36511]
7,0.95,1.58,0.43,1.13,1.42,2019-06-07,[36511]
1,0.72,0.72,0.72,0.72,0.72,2019-06-08,[36511]
5,7.69,32.48,1.01,1.72,2.26,2019-06-09,[36511]
1,0.8,0.8,0.8,0.8,0.8,2019-06-10,[36511]
18,3.15,30.37,0.63,1.05,1.32,2019-06-11,[36511]
0,,,,0.0,,2019-06-12,[36511]
10,10.42,26.07,6.22,8.59,11.99,2019-06-13,[36511]
0,,,,0.0,,2019-06-14,[36511]
0,,,,0.0,,2019-06-15,[36511]
0,,,,0.0,,2019-06-16,[36511]
0,,,,0.0,,2019-06-17,[36511]
0,,,,0.0,,2019-06-18,[36511]
53,7.35,104.16,1.01,1.95,5.18,2019-06-19,[36511]
6,36.7,101.51,1.89,11.5,75.61,2019-06-20,[36511]
15,1.25,2.97,0.51,0.92,2.01,2019-06-21,[36511]
1,0.22,0.22,0.22,0.22,0.22,2019-06-22,[36511]
16,3.64,11.45,0.23,0.95,7.34,2019-06-23,[36511]
50,8.06,79.91,0.84,1.38,5.05,2019-06-24,[36511]
26,19.53,104.94,0.94,2.2,18.29,2019-06-25,[36511]
15,11.46,129.59,1.18,1.85,4.71,2019-06-26,[36511]
15,2.48,13.36,0.84,1.52,2.74,2019-06-27,[36511]
7,2.33,13.71,0.18,0.53,0.84,2019-06-28,[36511]
225,4.31,168.7,0.58,1.36,2.48,2019-06-29,[36511]
20,1.92,6.22,0.84,1.62,2.47,2019-06-30,[36511]
11,1.44,3.91,0.45,0.74,2.08,2019-07-01,[36511]
3,1.63,2.61,1.14,2.09,2.35,2019-07-02,[36511]
2,1.32,2.55,0.7,1.32,1.93,2019-07-03,[36511]
3,1.23,1.84,0.92,1.03,1.44,2019-07-04,[36511]
18,30.9,260.02,0.71,1.12,6.13,2019-07-05,[36511]
4,1.36,2.39,0.53,1.34,2.16,2019-07-06,[36511]
15,4.37,26.1,0.64,1.77,2.34,2019-07-07,[36511]
24,2.46,24.72,0.49,1.0,2.02,2019-07-08,[36511]
8,12.24,88.14,1.05,1.21,2.3,2019-07-09,[36511]
9,5.81,27.03,1.06,2.17,2.62,2019-07-10,[36511]
