count,mean,pct100,pct25,pct50,pct75,time,zoneIds
39,3.79,23.94,1.06,2.06,3.92,2019-02-20,[42696]
0,,,,0.0,,2019-02-21,[42696]
0,,,,0.0,,2019-02-22,[42696]
0,,,,0.0,,2019-02-23,[42696]
0,,,,0.0,,2019-02-24,[42696]
0,,,,0.0,,2019-02-25,[42696]
0,,,,0.0,,2019-02-26,[42696]
0,,,,0.0,,2019-02-27,[42696]
0,,,,0.0,,2019-02-28,[42696]
2,9.15,16.98,5.24,9.15,13.06,2019-03-01,[42696]
13,14.85,68.23,2.21,4.12,21.92,2019-03-02,[42696]
7,2.12,4.67,1.05,2.1,2.6,2019-03-03,[42696]
0,,,,0.0,,2019-03-04,[42696]
0,,,,0.0,,2019-03-05,[42696]
0,,,,0.0,,2019-03-06,[42696]
0,,,,0.0,,2019-03-07,[42696]
0,,,,0.0,,2019-03-08,[42696]
0,,,,0.0,,2019-03-09,[42696]
0,,,,0.0,,2019-03-10,[42696]
0,,,,0.0,,2019-03-11,[42696]
0,,,,0.0,,2019-03-12,[42696]
0,,,,0.0,,2019-03-13,[42696]
0,,,,0.0,,2019-03-14,[42696]
0,,,,0.0,,2019-03-15,[42696]
0,,,,0.0,,2019-03-16,[42696]
0,,,,0.0,,2019-03-17,[42696]
0,,,,0.0,,2019-03-18,[42696]
0,,,,0.0,,2019-03-19,[42696]
0,,,,0.0,,2019-03-20,[42696]
0,,,,0.0,,2019-03-21,[42696]
0,,,,0.0,,2019-03-22,[42696]
0,,,,0.0,,2019-03-23,[42696]
0,,,,0.0,,2019-03-24,[42696]
0,,,,0.0,,2019-03-25,[42696]
0,,,,0.0,,2019-03-26,[42696]
0,,,,0.0,,2019-03-27,[42696]
0,,,,0.0,,2019-03-28,[42696]
0,,,,0.0,,2019-03-29,[42696]
0,,,,0.0,,2019-03-30,[42696]
0,,,,0.0,,2019-03-31,[42696]
0,,,,0.0,,2019-04-01,[42696]
0,,,,0.0,,2019-04-02,[42696]
0,,,,0.0,,2019-04-03,[42696]
0,,,,0.0,,2019-04-04,[42696]
0,,,,0.0,,2019-04-05,[42696]
0,,,,0.0,,2019-04-06,[42696]
0,,,,0.0,,2019-04-07,[42696]
0,,,,0.0,,2019-04-08,[42696]
0,,,,0.0,,2019-04-09,[42696]
0,,,,0.0,,2019-04-10,[42696]
0,,,,0.0,,2019-04-11,[42696]
0,,,,0.0,,2019-04-12,[42696]
0,,,,0.0,,2019-04-13,[42696]
0,,,,0.0,,2019-04-14,[42696]
0,,,,0.0,,2019-04-15,[42696]
0,,,,0.0,,2019-04-16,[42696]
0,,,,0.0,,2019-04-17,[42696]
0,,,,0.0,,2019-04-18,[42696]
0,,,,0.0,,2019-04-19,[42696]
0,,,,0.0,,2019-04-20,[42696]
0,,,,0.0,,2019-04-21,[42696]
0,,,,0.0,,2019-04-22,[42696]
0,,,,0.0,,2019-04-23,[42696]
0,,,,0.0,,2019-04-24,[42696]
0,,,,0.0,,2019-04-25,[42696]
0,,,,0.0,,2019-04-26,[42696]
0,,,,0.0,,2019-04-27,[42696]
0,,,,0.0,,2019-04-28,[42696]
0,,,,0.0,,2019-04-29,[42696]
0,,,,0.0,,2019-04-30,[42696]
4,11.96,19.14,6.44,13.3,18.81,2019-05-01,[42696]
4,3.88,8.83,0.91,3.09,6.06,2019-05-02,[42696]
31,11.78,158.69,1.37,3.09,6.4,2019-05-03,[42696]
29,477.93,9262.06,2.63,6.8,21.84,2019-05-04,[42696]
74,92.61,1960.71,4.5,9.75,51.2,2019-05-05,[42696]
50,192.09,4322.61,7.84,41.76,140.89,2019-05-06,[42696]
4,27.24,87.11,6.76,9.88,30.36,2019-05-07,[42696]
46,56.13,1567.77,3.12,7.54,16.35,2019-05-08,[42696]
50,16.59,177.14,1.58,3.64,7.16,2019-05-09,[42696]
58,37.44,616.61,3.21,6.24,14.53,2019-05-10,[42696]
68,104.99,5816.46,5.13,8.86,15.65,2019-05-11,[42696]
61,438.08,13603.96,4.21,9.89,43.23,2019-05-12,[42696]
3,6.12,9.52,4.42,7.81,8.66,2019-05-13,[42696]
62,7.3,114.02,2.1,3.71,7.32,2019-05-14,[42696]
3,44.95,97.86,18.5,20.77,59.32,2019-05-15,[42696]
10,9.83,38.42,3.15,6.56,10.38,2019-05-16,[42696]
8,3.68,9.85,1.52,2.35,5.05,2019-05-17,[42696]
0,,,,0.0,,2019-05-18,[42696]
0,,,,0.0,,2019-05-19,[42696]
2,0.52,1.02,0.28,0.52,0.77,2019-05-20,[42696]
0,,,,0.0,,2019-05-21,[42696]
0,,,,0.0,,2019-05-22,[42696]
0,,,,0.0,,2019-05-23,[42696]
0,,,,0.0,,2019-05-24,[42696]
0,,,,0.0,,2019-05-25,[42696]
0,,,,0.0,,2019-05-26,[42696]
0,,,,0.0,,2019-05-27,[42696]
0,,,,0.0,,2019-05-28,[42696]
0,,,,0.0,,2019-05-29,[42696]
0,,,,0.0,,2019-05-30,[42696]
0,,,,0.0,,2019-05-31,[42696]
0,,,,0.0,,2019-06-01,[42696]
0,,,,0.0,,2019-06-02,[42696]
0,,,,0.0,,2019-06-03,[42696]
0,,,,0.0,,2019-06-04,[42696]
0,,,,0.0,,2019-06-05,[42696]
0,,,,0.0,,2019-06-06,[42696]
0,,,,0.0,,2019-06-07,[42696]
0,,,,0.0,,2019-06-08,[42696]
0,,,,0.0,,2019-06-09,[42696]
0,,,,0.0,,2019-06-10,[42696]
0,,,,0.0,,2019-06-11,[42696]
0,,,,0.0,,2019-06-12,[42696]
0,,,,0.0,,2019-06-13,[42696]
0,,,,0.0,,2019-06-14,[42696]
0,,,,0.0,,2019-06-15,[42696]
0,,,,0.0,,2019-06-16,[42696]
0,,,,0.0,,2019-06-17,[42696]
0,,,,0.0,,2019-06-18,[42696]
0,,,,0.0,,2019-06-19,[42696]
0,,,,0.0,,2019-06-20,[42696]
3,3.17,4.63,2.44,3.61,4.12,2019-06-21,[42696]
1,7.79,7.79,7.79,7.79,7.79,2019-06-22,[42696]
0,,,,0.0,,2019-06-23,[42696]
23,3.89,12.4,1.38,2.55,5.35,2019-06-24,[42696]
6,2.46,5.24,1.24,2.64,3.14,2019-06-25,[42696]
2,4.65,8.41,2.76,4.65,6.53,2019-06-26,[42696]
14,2.48,7.88,0.65,1.86,4.03,2019-06-27,[42696]
22,2.46,15.07,0.26,0.65,2.18,2019-06-28,[42696]
36,3.39,18.25,0.99,1.81,5.34,2019-06-29,[42696]
19,3.76,15.63,0.94,2.6,5.78,2019-06-30,[42696]
0,,,,0.0,,2019-07-01,[42696]
1,0.42,0.42,0.42,0.42,0.42,2019-07-02,[42696]
0,,,,0.0,,2019-07-03,[42696]
0,,,,0.0,,2019-07-04,[42696]
0,,,,0.0,,2019-07-05,[42696]
0,,,,0.0,,2019-07-06,[42696]
2,7.02,10.42,5.32,7.02,8.72,2019-07-07,[42696]
22,3.37,13.61,1.48,2.58,3.66,2019-07-08,[42696]
2,1.65,3.09,0.93,1.65,2.37,2019-07-09,[42696]
1,0.39,0.39,0.39,0.39,0.39,2019-07-10,[42696]
3,7.61,20.76,1.04,1.76,11.26,2019-07-11,[42696]
2,0.91,1.56,0.58,0.91,1.23,2019-07-12,[42696]
0,,,,0.0,,2019-07-13,[42696]
0,,,,0.0,,2019-07-14,[42696]
1,0.52,0.52,0.52,0.52,0.52,2019-07-15,[42696]
0,,,,0.0,,2019-07-16,[42696]
1,7.81,7.81,7.81,7.81,7.81,2019-07-17,[42696]
5,2.84,8.31,0.53,1.54,3.59,2019-07-18,[42696]
0,,,,0.0,,2019-07-19,[42696]
0,,,,0.0,,2019-07-20,[42696]
10,9.85,46.88,1.18,1.83,14.12,2019-07-21,[42696]
8,5.61,22.62,1.96,2.7,5.45,2019-07-22,[42696]
1,0.7,0.7,0.7,0.7,0.7,2019-07-23,[42696]
1,1.06,1.06,1.06,1.06,1.06,2019-07-24,[42696]
8,16.77,41.59,3.05,13.99,24.86,2019-07-25,[42696]
1,5.21,5.21,5.21,5.21,5.21,2019-07-26,[42696]
0,,,,0.0,,2019-07-27,[42696]
3,2.24,5.16,0.78,1.02,3.09,2019-07-28,[42696]
9,7.09,27.69,1.06,2.35,11.33,2019-07-29,[42696]
1,0.17,0.17,0.17,0.17,0.17,2019-07-30,[42696]
1,8.63,8.63,8.63,8.63,8.63,2019-07-31,[42696]
5,4.83,11.44,0.17,2.07,10.38,2019-08-01,[42696]
0,,,,0.0,,2019-08-02,[42696]
