pct50,time
4.68,2019-03-20
5.21,2019-03-21
4.15,2019-03-22
5.72,2019-03-23
4.7,2019-03-24
5.17,2019-03-25
4.16,2019-03-26
4.68,2019-03-27
4.63,2019-03-28
3.63,2019-03-29
3.1,2019-03-30
4.15,2019-03-31
5.17,2019-04-01
5.24,2019-04-02
0.0,2019-04-03
0.0,2019-04-04
0.0,2019-04-05
0.0,2019-04-06
0.0,2019-04-07
5.7,2019-04-08
4.71,2019-04-09
4.23,2019-04-10
4.17,2019-04-11
5.16,2019-04-12
4.15,2019-04-13
3.67,2019-04-14
4.12,2019-04-15
4.64,2019-04-16
5.22,2019-04-17
3.09,2019-04-18
0.0,2019-04-19
0.0,2019-04-20
0.0,2019-04-21
0.0,2019-04-22
0.0,2019-04-23
0.0,2019-04-24
0.0,2019-04-25
0.0,2019-04-26
0.0,2019-04-27
0.0,2019-04-28
0.0,2019-04-29
0.0,2019-04-30
0.0,2019-05-01
0.0,2019-05-02
0.0,2019-05-03
0.0,2019-05-04
0.0,2019-05-05
0.0,2019-05-06
0.0,2019-05-07
0.0,2019-05-08
0.0,2019-05-09
0.0,2019-05-10
0.0,2019-05-11
0.0,2019-05-12
0.0,2019-05-13
0.0,2019-05-14
0.0,2019-05-15
0.0,2019-05-16
0.0,2019-05-17
0.0,2019-05-18
0.0,2019-05-19
0.0,2019-05-20
7.32,2019-05-21
4.73,2019-05-22
4.1,2019-05-23
5.68,2019-05-24
5.18,2019-05-25
5.72,2019-05-26
4.65,2019-05-27
4.73,2019-05-28
5.7,2019-05-29
5.2,2019-05-30
4.23,2019-05-31
5.21,2019-06-01
4.69,2019-06-02
5.75,2019-06-03
5.17,2019-06-04
4.64,2019-06-05
4.18,2019-06-06
3.14,2019-06-07
4.7,2019-06-08
4.15,2019-06-09
4.19,2019-06-10
4.7,2019-06-11
4.69,2019-06-12
5.28,2019-06-13
4.66,2019-06-14
4.72,2019-06-15
4.64,2019-06-16
4.73,2019-06-17
4.65,2019-06-18
4.64,2019-06-19
4.21,2019-06-20
4.2,2019-06-21
3.63,2019-06-22
4.17,2019-06-23
4.69,2019-06-24
4.64,2019-06-25
4.62,2019-06-26
4.67,2019-06-27
4.7,2019-06-28
5.17,2019-06-29
5.15,2019-06-30
4.15,2019-07-01
4.62,2019-07-02
5.21,2019-07-03
6.77,2019-07-04
6.82,2019-07-05
8.86,2019-07-06
6.82,2019-07-07
6.2,2019-07-08
8.28,2019-07-09
6.8,2019-07-10
8.28,2019-07-11
8.86,2019-07-12
7.83,2019-07-13
6.8,2019-07-14
4.69,2019-07-15
4.65,2019-07-16
5.14,2019-07-17
4.74,2019-07-18
4.16,2019-07-19
4.11,2019-07-20
4.69,2019-07-21
5.24,2019-07-22
4.19,2019-07-23
6.24,2019-07-24
4.73,2019-07-25
5.69,2019-07-26
3.67,2019-07-27
4.68,2019-07-28
4.66,2019-07-29
4.16,2019-07-30
3.66,2019-07-31
4.21,2019-08-01
4.15,2019-08-02
4.11,2019-08-03
5.69,2019-08-04
4.19,2019-08-05
3.65,2019-08-06
3.64,2019-08-07
4.71,2019-08-08
3.68,2019-08-09
4.11,2019-08-10
4.16,2019-08-11
4.63,2019-08-12
4.08,2019-08-13
3.65,2019-08-14
5.16,2019-08-15
4.69,2019-08-16
3.65,2019-08-17
3.68,2019-08-18
4.18,2019-08-19
4.71,2019-08-20
4.15,2019-08-21
3.67,2019-08-22
4.15,2019-08-23
3.67,2019-08-24
5.14,2019-08-25
4.65,2019-08-26
4.12,2019-08-27
5.24,2019-08-28
4.14,2019-08-29
3.66,2019-08-30
3.66,2019-08-31
4.66,2019-09-01
4.66,2019-09-02
4.69,2019-09-03
5.17,2019-09-04
3.68,2019-09-05
4.11,2019-09-06
4.73,2019-09-07
4.18,2019-09-08
3.64,2019-09-09
5.17,2019-09-10
4.18,2019-09-11
4.13,2019-09-12
4.17,2019-09-13
4.19,2019-09-14
4.13,2019-09-15
4.12,2019-09-16
4.19,2019-09-17
4.13,2019-09-18
4.63,2019-09-19
4.69,2019-09-20
3.65,2019-09-21
4.69,2019-09-22
4.16,2019-09-23
4.64,2019-09-24
3.64,2019-09-25
4.13,2019-09-26
4.2,2019-09-27
3.15,2019-09-28
5.18,2019-09-29
4.65,2019-09-30
4.2,2019-10-01
4.67,2019-10-02
3.65,2019-10-03
4.15,2019-10-04
5.21,2019-10-05
4.68,2019-10-06
4.16,2019-10-07
3.69,2019-10-08
4.66,2019-10-09
4.14,2019-10-10
4.64,2019-10-11
3.67,2019-10-12
4.66,2019-10-13
6.21,2019-10-14
6.72,2019-10-15
4.11,2019-10-16
4.69,2019-10-17
4.69,2019-10-18
4.67,2019-10-19
4.68,2019-10-20
4.12,2019-10-21
4.7,2019-10-22
0.0,2019-10-23
4.19,2019-10-24
4.73,2019-10-25
4.12,2019-10-26
4.19,2019-10-27
2.61,2019-10-28
4.67,2019-10-29
4.2,2019-10-30
4.62,2019-10-31
4.7,2019-11-01
4.71,2019-11-02
4.21,2019-11-03
4.61,2019-11-04
4.7,2019-11-05
4.2,2019-11-06
4.71,2019-11-07
5.75,2019-11-08
5.74,2019-11-09
5.75,2019-11-10
7.35,2019-11-11
4.18,2019-11-12
5.76,2019-11-13
6.25,2019-11-14
5.21,2019-11-15
4.18,2019-11-16
4.17,2019-11-17
3.66,2019-11-18
4.13,2019-11-19
4.66,2019-11-20
4.68,2019-11-21
4.7,2019-11-22
3.67,2019-11-23
4.14,2019-11-24
5.14,2019-11-25
4.24,2019-11-26
3.12,2019-11-27
3.62,2019-11-28
4.1,2019-11-29
3.67,2019-11-30
5.28,2019-12-01
6.2,2019-12-02
5.74,2019-12-03
11.95,2019-12-04
4.14,2019-12-05
4.61,2019-12-06
4.12,2019-12-07
3.65,2019-12-08
13.02,2019-12-09
8.81,2019-12-10
4.64,2019-12-11
4.18,2019-12-12
4.14,2019-12-13
11.44,2019-12-14
4.15,2019-12-15
3.66,2019-12-16
4.13,2019-12-17
4.15,2019-12-18
4.15,2019-12-19
4.16,2019-12-20
4.13,2019-12-21
3.67,2019-12-22
3.64,2019-12-23
3.11,2019-12-24
3.58,2019-12-25
5.71,2019-12-26
3.63,2019-12-27
4.7,2019-12-28
3.14,2019-12-29
4.63,2019-12-30
7.26,2019-12-31
3.7,2020-01-01
3.64,2020-01-02
4.19,2020-01-03
4.65,2020-01-04
4.69,2020-01-05
7.28,2020-01-06
4.68,2020-01-07
3.64,2020-01-08
4.14,2020-01-09
4.71,2020-01-10
6.26,2020-01-11
0.0,2020-01-12
