pct50,time
6.75,2019-03-20
7.82,2019-03-21
5.15,2019-03-22
6.24,2019-03-23
5.19,2019-03-24
5.22,2019-03-25
4.73,2019-03-26
4.72,2019-03-27
5.22,2019-03-28
0.0,2019-03-29
0.0,2019-03-30
0.0,2019-03-31
0.0,2019-04-01
0.0,2019-04-02
0.0,2019-04-03
0.0,2019-04-04
0.0,2019-04-05
0.0,2019-04-06
0.0,2019-04-07
5.76,2019-04-08
4.12,2019-04-09
2.63,2019-04-10
3.07,2019-04-11
5.18,2019-04-12
5.74,2019-04-13
2.62,2019-04-14
3.6,2019-04-15
3.69,2019-04-16
6.24,2019-04-17
5.17,2019-04-18
4.68,2019-04-19
4.13,2019-04-20
2.1,2019-04-21
4.14,2019-04-22
5.19,2019-04-23
3.63,2019-04-24
5.69,2019-04-25
5.15,2019-04-26
3.62,2019-04-27
3.65,2019-04-28
7.27,2019-04-29
3.14,2019-04-30
4.21,2019-05-01
3.59,2019-05-02
3.06,2019-05-03
7.29,2019-05-04
4.13,2019-05-05
6.26,2019-05-06
4.69,2019-05-07
4.73,2019-05-08
3.61,2019-05-09
5.21,2019-05-10
8.37,2019-05-11
4.2,2019-05-12
4.18,2019-05-13
3.66,2019-05-14
6.22,2019-05-15
3.62,2019-05-16
4.67,2019-05-17
7.82,2019-05-18
7.28,2019-05-19
7.25,2019-05-20
6.24,2019-05-21
3.66,2019-05-22
5.16,2019-05-23
5.17,2019-05-24
14.02,2019-05-25
11.99,2019-05-26
9.87,2019-05-27
9.38,2019-05-28
9.91,2019-05-29
4.2,2019-05-30
4.18,2019-05-31
5.22,2019-06-01
5.12,2019-06-02
5.25,2019-06-03
3.61,2019-06-04
5.72,2019-06-05
5.23,2019-06-06
8.31,2019-06-07
3.13,2019-06-08
6.21,2019-06-09
7.76,2019-06-10
4.2,2019-06-11
4.19,2019-06-12
3.17,2019-06-13
3.66,2019-06-14
3.07,2019-06-15
3.09,2019-06-16
3.12,2019-06-17
2.56,2019-06-18
3.61,2019-06-19
3.15,2019-06-20
4.68,2019-06-21
4.2,2019-06-22
3.14,2019-06-23
4.69,2019-06-24
5.79,2019-06-25
5.74,2019-06-26
5.68,2019-06-27
4.2,2019-06-28
4.67,2019-06-29
5.68,2019-06-30
5.23,2019-07-01
5.68,2019-07-02
4.19,2019-07-03
6.76,2019-07-04
4.66,2019-07-05
3.56,2019-07-06
5.68,2019-07-07
6.2,2019-07-08
6.74,2019-07-09
4.72,2019-07-10
4.17,2019-07-11
5.77,2019-07-12
4.18,2019-07-13
4.67,2019-07-14
7.24,2019-07-15
5.22,2019-07-16
6.81,2019-07-17
5.22,2019-07-18
4.13,2019-07-19
6.81,2019-07-20
4.7,2019-07-21
6.78,2019-07-22
4.68,2019-07-23
7.36,2019-07-24
4.65,2019-07-25
5.17,2019-07-26
5.7,2019-07-27
5.67,2019-07-28
1.55,2019-07-29
0.0,2019-07-30
0.0,2019-07-31
0.0,2019-08-01
0.0,2019-08-02
0.0,2019-08-03
0.0,2019-08-04
0.0,2019-08-05
4.71,2019-08-06
4.1,2019-08-07
9.34,2019-08-08
4.65,2019-08-09
4.12,2019-08-10
4.73,2019-08-11
4.19,2019-08-12
3.66,2019-08-13
5.75,2019-08-14
4.72,2019-08-15
7.33,2019-08-16
9.34,2019-08-17
7.83,2019-08-18
5.21,2019-08-19
5.13,2019-08-20
9.36,2019-08-21
3.06,2019-08-22
5.22,2019-08-23
3.16,2019-08-24
4.63,2019-08-25
6.25,2019-08-26
3.09,2019-08-27
5.69,2019-08-28
6.27,2019-08-29
6.26,2019-08-30
7.81,2019-08-31
4.68,2019-09-01
4.7,2019-09-02
7.78,2019-09-03
4.18,2019-09-04
4.17,2019-09-05
