count,mean,pct100,pct25,pct50,pct75,time,zoneIds
1118,11.53,252.34,2.06,4.63,11.14,2019-02-20,[42693]
38,4.27,10.5,1.68,3.84,6.58,2019-02-21,[42693]
18,3.1,9.45,0.9,2.8,3.8,2019-02-22,[42693]
0,,,,0.0,,2019-02-23,[42693]
2,2.72,4.38,1.89,2.72,3.55,2019-02-24,[42693]
158,6.99,123.73,1.5,3.1,6.51,2019-02-25,[42693]
134,19.63,502.65,1.88,3.66,7.74,2019-02-26,[42693]
0,,,,0.0,,2019-02-27,[42693]
25,5.43,28.84,2.06,3.17,6.24,2019-02-28,[42693]
607,14.99,413.74,2.26,5.21,12.0,2019-03-01,[42693]
1018,9.86,196.19,2.06,4.17,9.37,2019-03-02,[42693]
87,11.38,68.76,2.1,5.21,15.06,2019-03-03,[42693]
0,,,,0.0,,2019-03-04,[42693]
0,,,,0.0,,2019-03-05,[42693]
0,,,,0.0,,2019-03-06,[42693]
0,,,,0.0,,2019-03-07,[42693]
0,,,,0.0,,2019-03-08,[42693]
0,,,,0.0,,2019-03-09,[42693]
0,,,,0.0,,2019-03-10,[42693]
2,18.76,37.1,9.58,18.76,27.93,2019-03-11,[42693]
0,,,,0.0,,2019-03-12,[42693]
0,,,,0.0,,2019-03-13,[42693]
0,,,,0.0,,2019-03-14,[42693]
0,,,,0.0,,2019-03-15,[42693]
0,,,,0.0,,2019-03-16,[42693]
0,,,,0.0,,2019-03-17,[42693]
0,,,,0.0,,2019-03-18,[42693]
0,,,,0.0,,2019-03-19,[42693]
128,12.28,96.36,1.92,4.85,12.56,2019-03-20,[42693]
654,14.32,421.85,2.12,5.18,13.03,2019-03-21,[42693]
115,13.84,253.64,1.6,3.91,11.72,2019-03-22,[42693]
12,8.79,32.73,3.53,5.8,9.66,2019-03-23,[42693]
269,10.72,226.96,2.11,4.77,10.92,2019-03-24,[42693]
46,5.25,40.02,2.06,3.04,5.58,2019-03-25,[42693]
92,4.36,20.8,1.54,3.0,5.84,2019-03-26,[42693]
529,21.61,374.96,2.64,6.75,19.23,2019-03-27,[42693]
226,10.4,288.8,1.58,4.12,9.36,2019-03-28,[42693]
193,10.28,152.56,1.56,3.58,9.86,2019-03-29,[42693]
393,13.84,793.24,1.56,3.7,12.01,2019-03-30,[42693]
397,10.16,145.16,1.51,3.68,9.38,2019-03-31,[42693]
263,15.52,222.34,2.48,5.74,13.52,2019-04-01,[42693]
2486,15.45,510.01,2.55,5.73,15.6,2019-04-02,[42693]
768,19.44,408.82,2.11,5.76,19.2,2019-04-03,[42693]
329,10.4,360.82,2.06,4.15,8.44,2019-04-04,[42693]
843,22.67,479.63,2.63,7.26,20.81,2019-04-05,[42693]
0,,,,0.0,,2019-04-06,[42693]
668,12.73,372.35,2.08,4.19,10.44,2019-04-07,[42693]
91,7.75,78.06,1.58,3.14,6.74,2019-04-08,[42693]
2011,24.55,3395.4,2.13,5.21,13.5,2019-04-09,[42693]
156,66.36,5131.64,2.4,5.73,10.56,2019-04-10,[42693]
572,18.93,345.92,2.6,6.78,19.26,2019-04-11,[42693]
119,6.84,156.29,1.58,3.14,5.55,2019-04-12,[42693]
0,,,,0.0,,2019-04-13,[42693]
222,14.26,205.28,2.62,5.2,14.03,2019-04-14,[42693]
146,8.95,138.87,2.54,4.66,8.63,2019-04-15,[42693]
145,12.3,253.67,1.58,3.64,9.87,2019-04-16,[42693]
309,7.71,93.66,1.57,4.12,8.95,2019-04-17,[42693]
2174,29.59,1822.1,3.11,7.8,23.45,2019-04-18,[42693]
0,,,,0.0,,2019-04-19,[42693]
0,,,,0.0,,2019-04-20,[42693]
0,,,,0.0,,2019-04-21,[42693]
1,2.62,2.62,2.62,2.62,2.62,2019-04-22,[42693]
345,14.13,271.01,2.82,5.21,11.41,2019-04-23,[42693]
100,6.81,50.58,1.92,3.8,7.99,2019-04-24,[42693]
1205,17.46,485.47,2.1,6.2,16.72,2019-04-25,[42693]
756,9.09,340.16,1.6,4.17,9.06,2019-04-26,[42693]
0,,,,0.0,,2019-04-27,[42693]
475,13.52,203.64,2.08,4.72,11.88,2019-04-28,[42693]
258,4.76,46.97,1.14,2.29,4.71,2019-04-29,[42693]
108,8.86,127.49,1.59,3.3,7.35,2019-04-30,[42693]
206,6.86,136.36,1.55,3.13,6.81,2019-05-01,[42693]
242,7.81,156.83,1.58,3.7,7.77,2019-05-02,[42693]
129,11.94,158.69,2.09,4.19,10.38,2019-05-03,[42693]
111,391.27,13595.85,7.82,17.24,47.38,2019-05-04,[42693]
536,59.1,7422.54,2.11,5.69,16.1,2019-05-05,[42693]
192,119.32,4987.32,3.13,9.06,32.61,2019-05-06,[42693]
235,36.98,3450.18,2.1,4.79,12.75,2019-05-07,[42693]
595,49.46,7928.73,3.09,6.72,17.67,2019-05-08,[42693]
576,12.89,304.36,2.57,5.66,11.6,2019-05-09,[42693]
322,20.35,710.59,3.02,6.28,14.05,2019-05-10,[42693]
1285,15.96,5816.46,2.11,4.68,10.39,2019-05-11,[42693]
397,74.77,13620.53,2.55,5.16,9.87,2019-05-12,[42693]
266,18.51,1788.73,2.6,5.21,12.36,2019-05-13,[42693]
692,18.62,940.16,4.16,8.34,17.17,2019-05-14,[42693]
667,10.55,242.07,2.02,4.15,9.26,2019-05-15,[42693]
984,8.5,224.83,1.57,3.65,8.23,2019-05-16,[42693]
870,8.66,366.56,1.58,3.66,8.8,2019-05-17,[42693]
111,25.56,301.31,7.52,11.5,26.6,2019-05-18,[42693]
130,59.87,978.24,8.83,18.99,49.36,2019-05-19,[42693]
286,6.77,90.18,1.76,3.59,6.4,2019-05-20,[42693]
165,4.79,29.75,1.58,3.16,6.28,2019-05-21,[42693]
72,5.13,28.14,2.06,3.64,6.23,2019-05-22,[42693]
38,21.5,116.2,2.69,5.84,23.79,2019-05-23,[42693]
9,9.67,54.76,2.63,3.61,6.71,2019-05-24,[42693]
0,,,,0.0,,2019-05-25,[42693]
1,1.57,1.57,1.57,1.57,1.57,2019-05-26,[42693]
8,4.1,9.42,1.46,4.14,5.82,2019-05-27,[42693]
26,40.05,339.54,3.64,18.26,43.06,2019-05-28,[42693]
46,5.21,44.15,1.58,2.62,4.17,2019-05-29,[42693]
1,2.11,2.11,2.11,2.11,2.11,2019-05-30,[42693]
49,7.71,35.31,2.08,4.65,11.95,2019-05-31,[42693]
0,,,,0.0,,2019-06-01,[42693]
6,9.61,29.54,1.56,1.77,16.7,2019-06-02,[42693]
950,7.12,308.34,1.06,2.6,6.26,2019-06-03,[42693]
786,7.51,206.43,1.07,2.58,6.21,2019-06-04,[42693]
1073,8.36,287.69,1.54,3.12,7.79,2019-06-05,[42693]
784,8.13,477.79,1.39,2.6,6.27,2019-06-06,[42693]
647,8.1,242.94,1.04,2.48,6.76,2019-06-07,[42693]
185,3.07,30.69,0.71,1.56,3.23,2019-06-08,[42693]
56,2.48,19.46,0.57,1.57,3.08,2019-06-09,[42693]
856,7.51,91.84,1.56,3.58,8.83,2019-06-10,[42693]
752,12.42,280.15,2.1,5.18,13.01,2019-06-11,[42693]
158,15.87,335.36,2.6,5.56,13.75,2019-06-12,[42693]
139,11.82,229.04,2.08,5.18,11.74,2019-06-13,[42693]
116,14.69,184.0,2.62,5.56,11.82,2019-06-14,[42693]
0,,,,0.0,,2019-06-15,[42693]
9,3.44,7.77,1.58,2.49,4.68,2019-06-16,[42693]
68,4.45,29.8,1.05,1.88,4.15,2019-06-17,[42693]
77,5.25,181.08,0.79,1.45,3.02,2019-06-18,[42693]
397,6.33,164.97,1.36,2.62,5.94,2019-06-19,[42693]
871,14.39,318.9,2.37,4.84,12.1,2019-06-20,[42693]
1197,42.79,24539.01,2.07,4.12,9.97,2019-06-21,[42693]
334,8.37,434.42,1.58,3.22,7.87,2019-06-22,[42693]
924,9.03,395.11,2.08,4.1,8.83,2019-06-23,[42693]
2217,16.74,1174.39,2.08,4.74,12.51,2019-06-24,[42693]
1213,16.66,647.28,2.1,5.17,11.99,2019-06-25,[42693]
512,14.0,491.0,2.11,5.32,11.94,2019-06-26,[42693]
571,10.57,168.62,2.09,4.12,10.4,2019-06-27,[42693]
1422,19.95,875.82,2.62,5.95,16.16,2019-06-28,[42693]
3138,11.86,574.57,2.07,4.66,11.42,2019-06-29,[42693]
1778,12.69,1180.36,2.1,4.71,10.94,2019-06-30,[42693]
24,8.37,44.27,3.11,4.96,8.35,2019-07-01,[42693]
33,5.64,38.52,3.07,4.16,5.73,2019-07-02,[42693]
81,12.68,300.55,2.55,4.73,10.9,2019-07-03,[42693]
50,7.33,85.37,2.06,3.61,6.48,2019-07-04,[42693]
32,2.65,5.42,1.6,2.61,3.25,2019-07-05,[42693]
0,,,,0.0,,2019-07-06,[42693]
554,13.7,312.6,2.11,4.63,10.38,2019-07-07,[42693]
1204,16.06,385.56,2.62,5.7,15.02,2019-07-08,[42693]
295,25.57,980.38,2.34,5.27,14.34,2019-07-09,[42693]
1351,19.39,454.84,2.64,6.73,17.19,2019-07-10,[42693]
479,24.93,883.17,2.72,6.26,17.98,2019-07-11,[42693]
334,6.69,70.84,2.1,4.16,8.76,2019-07-12,[42693]
45,6.19,52.28,1.58,4.2,6.29,2019-07-13,[42693]
1085,9.09,309.15,2.09,4.63,8.86,2019-07-14,[42693]
456,20.47,445.72,2.11,5.24,15.7,2019-07-15,[42693]
315,17.66,244.59,2.12,5.33,16.43,2019-07-16,[42693]
1007,23.31,1062.21,3.13,6.8,19.2,2019-07-17,[42693]
519,17.27,410.38,2.37,5.21,13.92,2019-07-18,[42693]
218,19.68,244.61,2.35,5.73,14.74,2019-07-19,[42693]
77,16.48,472.61,1.55,3.14,9.42,2019-07-20,[42693]
1004,12.03,235.69,2.55,5.24,11.95,2019-07-21,[42693]
1002,20.96,980.11,2.56,5.26,14.07,2019-07-22,[42693]
500,23.29,468.09,2.58,5.76,17.2,2019-07-23,[42693]
754,22.1,1123.08,2.14,5.24,16.18,2019-07-24,[42693]
611,17.85,663.55,2.58,5.73,14.62,2019-07-25,[42693]
611,22.29,825.17,2.61,6.27,16.16,2019-07-26,[42693]
0,,,,0.0,,2019-07-27,[42693]
986,20.9,887.23,2.58,5.72,14.06,2019-07-28,[42693]
725,23.08,399.54,3.07,7.36,21.85,2019-07-29,[42693]
322,21.17,401.42,2.61,5.21,16.14,2019-07-30,[42693]
648,35.4,981.15,2.65,7.3,30.86,2019-07-31,[42693]
792,29.09,714.25,4.13,9.91,25.98,2019-08-01,[42693]
184,12.42,117.06,2.1,5.22,11.58,2019-08-02,[42693]
3,5.5,9.73,3.38,5.74,7.74,2019-08-03,[42693]
116,7.61,73.91,1.58,3.69,7.26,2019-08-04,[42693]
5,4.82,9.35,2.04,3.87,7.81,2019-08-05,[42693]
495,32.14,694.27,3.14,9.34,29.22,2019-08-06,[42693]
247,31.35,413.11,2.58,5.69,24.74,2019-08-07,[42693]
793,35.02,1246.66,3.59,8.32,29.46,2019-08-08,[42693]
508,22.45,426.41,3.14,7.76,19.32,2019-08-09,[42693]
20,4.26,9.9,2.85,3.68,4.58,2019-08-10,[42693]
605,14.96,477.43,2.55,5.23,13.52,2019-08-11,[42693]
688,24.8,451.01,3.04,7.83,21.89,2019-08-12,[42693]
380,15.19,174.89,2.57,5.77,16.38,2019-08-13,[42693]
262,109.63,8699.22,2.1,6.74,28.05,2019-08-14,[42693]
2072,16.5,895.46,2.59,5.75,14.57,2019-08-15,[42693]
380,40.05,10563.58,2.1,4.66,9.4,2019-08-16,[42693]
72,357.57,16872.89,4.7,10.38,38.2,2019-08-17,[42693]
1275,30.4,8497.28,2.56,5.23,13.0,2019-08-18,[42693]
575,23.31,598.57,2.61,5.26,12.7,2019-08-19,[42693]
821,26.61,5033.1,3.12,6.48,16.74,2019-08-20,[42693]
364,34.31,1013.94,2.7,6.7,20.41,2019-08-21,[42693]
235,19.59,928.05,2.59,5.19,11.97,2019-08-22,[42693]
241,31.49,1440.2,3.66,8.11,18.17,2019-08-23,[42693]
113,45.24,2910.51,5.17,10.38,23.92,2019-08-24,[42693]
1981,14.26,512.14,2.57,5.68,13.05,2019-08-25,[42693]
293,11.96,222.23,1.79,4.19,10.25,2019-08-26,[42693]
197,27.46,576.15,2.61,5.75,16.63,2019-08-27,[42693]
381,13.71,285.83,2.06,4.61,12.48,2019-08-28,[42693]
268,15.75,218.14,2.59,5.16,14.98,2019-08-29,[42693]
102,11.41,102.69,3.12,5.72,10.3,2019-08-30,[42693]
9,4.67,12.46,1.57,3.11,6.2,2019-08-31,[42693]
145,176.07,17855.08,2.78,5.7,10.46,2019-09-01,[42693]
148,121.06,5763.52,8.17,15.03,38.26,2019-09-02,[42693]
173,51.68,3849.97,3.1,6.24,13.53,2019-09-03,[42693]
313,22.07,326.19,2.59,5.31,16.95,2019-09-04,[42693]
176,20.17,394.65,2.75,5.7,13.28,2019-09-05,[42693]
229,38.34,755.19,3.66,9.32,28.51,2019-09-06,[42693]
0,,,,0.0,,2019-09-07,[42693]
381,12.24,262.45,2.09,4.65,11.45,2019-09-08,[42693]
809,26.91,2758.83,3.06,7.33,20.33,2019-09-09,[42693]
2362,19.8,995.8,2.59,5.72,16.0,2019-09-10,[42693]
714,18.23,983.49,2.6,5.76,15.48,2019-09-11,[42693]
573,28.46,1201.58,3.15,6.77,18.68,2019-09-12,[42693]
309,25.02,399.38,2.08,5.34,18.21,2019-09-13,[42693]
178,64.65,2409.38,6.72,17.52,69.3,2019-09-14,[42693]
370,18.66,540.35,2.51,5.72,12.94,2019-09-15,[42693]
494,16.26,491.21,2.1,4.69,10.98,2019-09-16,[42693]
275,18.37,196.98,2.1,5.19,18.67,2019-09-17,[42693]
591,20.12,2254.03,2.16,5.21,11.96,2019-09-18,[42693]
591,24.52,501.41,3.2,7.82,21.24,2019-09-19,[42693]
478,15.78,495.0,2.07,4.65,12.36,2019-09-20,[42693]
1,2.78,2.78,2.78,2.78,2.78,2019-09-21,[42693]
482,15.47,224.87,2.12,5.14,14.62,2019-09-22,[42693]
156,22.44,549.24,2.11,5.46,10.4,2019-09-23,[42693]
1430,15.87,564.85,2.58,5.75,15.08,2019-09-24,[42693]
390,35.73,736.07,2.6,7.08,28.7,2019-09-25,[42693]
1802,22.24,806.22,2.61,5.78,16.58,2019-09-26,[42693]
1074,16.64,331.67,2.56,5.73,14.6,2019-09-27,[42693]
5,4.69,7.76,2.7,3.11,7.26,2019-09-28,[42693]
232,17.87,328.04,2.98,6.75,13.64,2019-09-29,[42693]
590,20.51,456.7,2.59,5.75,19.82,2019-09-30,[42693]
42,6.8,31.73,2.86,5.44,8.4,2019-10-01,[42693]
754,21.23,1175.04,2.6,5.74,14.1,2019-10-02,[42693]
223,17.31,351.93,2.28,5.71,14.33,2019-10-03,[42693]
411,24.21,539.76,2.64,6.7,19.49,2019-10-04,[42693]
84,38.11,451.16,4.16,7.8,19.05,2019-10-05,[42693]
562,10.3,594.83,2.09,4.64,10.41,2019-10-06,[42693]
380,37.69,1536.93,2.1,5.32,32.75,2019-10-07,[42693]
1082,40.81,871.95,4.72,13.04,58.36,2019-10-08,[42693]
629,18.17,1042.01,2.11,5.72,15.06,2019-10-09,[42693]
596,13.65,175.0,2.1,4.64,11.48,2019-10-10,[42693]
293,14.34,389.04,2.59,4.73,9.89,2019-10-11,[42693]
40,10.22,95.85,3.12,5.74,11.61,2019-10-12,[42693]
27,12.22,58.89,2.58,5.75,17.81,2019-10-13,[42693]
0,,,,0.0,,2019-10-14,[42693]
1231,24.14,912.96,2.6,6.25,17.65,2019-10-15,[42693]
260,7.32,124.82,1.65,3.63,7.82,2019-10-16,[42693]
1594,23.94,1008.13,3.06,6.19,17.2,2019-10-17,[42693]
637,18.81,642.21,2.84,6.25,15.64,2019-10-18,[42693]
13,10.17,33.33,4.11,5.64,16.17,2019-10-19,[42693]
274,11.32,140.64,2.08,5.08,12.48,2019-10-20,[42693]
115,30.67,548.29,2.6,5.27,17.46,2019-10-21,[42693]
387,15.27,324.03,2.6,5.39,12.66,2019-10-22,[42693]
497,16.95,419.46,2.08,4.16,12.48,2019-10-23,[42693]
797,22.66,1539.97,2.59,6.08,16.65,2019-10-24,[42693]
1302,20.74,772.33,2.17,5.26,13.58,2019-10-25,[42693]
14,6.98,17.75,3.6,5.88,7.72,2019-10-26,[42693]
416,14.48,475.57,3.13,6.27,14.58,2019-10-27,[42693]
24,14.38,64.19,3.42,8.04,21.87,2019-10-28,[42693]
765,23.93,1270.59,2.1,5.76,16.21,2019-10-29,[42693]
158,12.45,185.99,2.59,4.71,10.92,2019-10-30,[42693]
296,27.33,643.45,2.54,5.25,19.22,2019-10-31,[42693]
1324,19.39,432.81,2.62,5.84,17.16,2019-11-01,[42693]
18,7.46,19.75,2.23,5.46,13.2,2019-11-02,[42693]
1981,18.23,376.38,2.61,6.74,19.69,2019-11-03,[42693]
77,9.18,269.56,2.6,3.73,6.28,2019-11-04,[42693]
315,9.26,143.87,2.09,4.42,9.4,2019-11-05,[42693]
1061,11.36,498.4,2.08,4.13,8.26,2019-11-06,[42693]
1399,26.82,988.04,2.88,6.21,19.3,2019-11-07,[42693]
119,14.95,163.69,2.69,5.7,14.3,2019-11-08,[42693]
7,3.03,12.05,1.18,1.69,2.54,2019-11-09,[42693]
214,26.29,240.44,4.1,21.07,36.79,2019-11-10,[42693]
81,19.1,134.78,2.64,9.83,26.3,2019-11-11,[42693]
951,32.51,5555.18,2.62,7.26,19.26,2019-11-12,[42693]
837,13.48,422.9,2.1,5.17,12.51,2019-11-13,[42693]
634,10.62,252.53,1.71,4.72,11.49,2019-11-14,[42693]
578,11.51,130.67,1.58,3.99,12.02,2019-11-15,[42693]
684,13.95,353.66,1.58,4.17,13.0,2019-11-16,[42693]
51,12.71,174.37,1.58,4.65,14.1,2019-11-17,[42693]
103,6.96,90.11,1.03,2.38,6.72,2019-11-18,[42693]
141,12.46,524.88,1.37,3.12,7.3,2019-11-19,[42693]
512,8.52,244.02,1.58,3.65,8.27,2019-11-20,[42693]
416,12.23,147.86,2.1,4.66,11.95,2019-11-21,[42693]
360,15.03,238.99,2.1,5.24,14.03,2019-11-22,[42693]
349,7.11,93.93,2.1,3.65,7.41,2019-11-23,[42693]
591,12.03,228.68,2.02,4.69,11.47,2019-11-24,[42693]
256,16.82,286.24,2.63,5.78,12.98,2019-11-25,[42693]
602,18.76,853.65,2.45,5.24,13.04,2019-11-26,[42693]
103,5.23,51.59,2.07,3.2,5.1,2019-11-27,[42693]
