count,mean,pct100,pct25,pct50,pct75,time,zoneIds
94,5.48,63.01,0.86,1.71,4.12,2019-02-20,[42699]
3,1.92,4.75,0.5,0.63,2.69,2019-02-21,[42699]
0,,,,0.0,,2019-02-22,[42699]
2,2.91,5.02,1.86,2.91,3.96,2019-02-23,[42699]
3,1.44,2.62,0.86,0.97,1.8,2019-02-24,[42699]
58,3.53,34.04,1.04,1.92,3.2,2019-02-25,[42699]
15,1.95,5.46,0.64,1.91,2.53,2019-02-26,[42699]
0,,,,0.0,,2019-02-27,[42699]
1,7.29,7.29,7.29,7.29,7.29,2019-02-28,[42699]
38,17.29,82.65,1.25,4.77,26.08,2019-03-01,[42699]
235,14.17,1678.63,1.02,2.54,6.85,2019-03-02,[42699]
7,2.57,7.77,0.77,2.45,2.97,2019-03-03,[42699]
0,,,,0.0,,2019-03-04,[42699]
0,,,,0.0,,2019-03-05,[42699]
0,,,,0.0,,2019-03-06,[42699]
0,,,,0.0,,2019-03-07,[42699]
0,,,,0.0,,2019-03-08,[42699]
0,,,,0.0,,2019-03-09,[42699]
0,,,,0.0,,2019-03-10,[42699]
2,0.74,1.27,0.48,0.74,1.01,2019-03-11,[42699]
0,,,,0.0,,2019-03-12,[42699]
0,,,,0.0,,2019-03-13,[42699]
0,,,,0.0,,2019-03-14,[42699]
0,,,,0.0,,2019-03-15,[42699]
0,,,,0.0,,2019-03-16,[42699]
0,,,,0.0,,2019-03-17,[42699]
0,,,,0.0,,2019-03-18,[42699]
0,,,,0.0,,2019-03-19,[42699]
5,2.6,5.07,0.32,3.05,4.44,2019-03-20,[42699]
49,15.25,339.73,1.38,2.81,5.38,2019-03-21,[42699]
25,3.27,23.48,0.41,1.4,2.68,2019-03-22,[42699]
0,,,,0.0,,2019-03-23,[42699]
43,3.61,18.69,0.92,2.49,3.83,2019-03-24,[42699]
21,3.6,25.78,0.76,2.97,3.9,2019-03-25,[42699]
19,2.96,10.27,0.6,2.73,4.2,2019-03-26,[42699]
37,10.13,212.36,0.74,1.85,5.13,2019-03-27,[42699]
51,18.75,311.76,1.0,1.86,4.96,2019-03-28,[42699]
456,13.6,183.61,1.43,3.74,14.08,2019-03-29,[42699]
612,31.8,990.39,1.68,5.72,19.91,2019-03-30,[42699]
914,20.16,484.03,1.57,4.89,15.95,2019-03-31,[42699]
31,9.77,62.8,1.84,4.84,8.52,2019-04-01,[42699]
54,4.72,75.47,0.44,1.06,1.84,2019-04-02,[42699]
43,10.38,108.54,1.12,4.65,10.39,2019-04-03,[42699]
177,11.79,150.18,1.44,2.92,13.14,2019-04-04,[42699]
92,48.03,345.75,2.31,8.12,56.4,2019-04-05,[42699]
0,,,,0.0,,2019-04-06,[42699]
42,2.29,9.3,0.99,1.91,3.19,2019-04-07,[42699]
21,27.68,236.2,1.48,2.62,35.73,2019-04-08,[42699]
62,9.45,205.47,0.86,1.52,3.73,2019-04-09,[42699]
26,11.11,95.45,2.3,3.5,8.07,2019-04-10,[42699]
62,28.87,373.65,1.74,3.64,14.15,2019-04-11,[42699]
17,38.27,301.6,1.92,3.3,38.5,2019-04-12,[42699]
0,,,,0.0,,2019-04-13,[42699]
13,1.88,3.23,1.03,2.22,2.53,2019-04-14,[42699]
25,2.5,8.49,1.14,1.97,3.55,2019-04-15,[42699]
16,11.55,68.95,1.05,3.5,12.79,2019-04-16,[42699]
54,3.61,29.96,1.53,2.83,3.96,2019-04-17,[42699]
57,17.93,175.2,0.81,3.09,20.5,2019-04-18,[42699]
0,,,,0.0,,2019-04-19,[42699]
0,,,,0.0,,2019-04-20,[42699]
0,,,,0.0,,2019-04-21,[42699]
1,4.56,4.56,4.56,4.56,4.56,2019-04-22,[42699]
36,6.29,45.8,1.88,3.22,6.02,2019-04-23,[42699]
32,9.15,160.47,1.46,3.18,4.65,2019-04-24,[42699]
124,27.83,421.95,1.58,4.68,30.51,2019-04-25,[42699]
128,12.16,236.66,1.52,3.67,10.46,2019-04-26,[42699]
0,,,,0.0,,2019-04-27,[42699]
94,18.22,208.79,1.02,3.41,17.27,2019-04-28,[42699]
21,4.4,27.91,0.62,2.34,4.3,2019-04-29,[42699]
25,4.43,15.98,1.05,3.09,4.0,2019-04-30,[42699]
24,4.67,55.18,0.92,1.94,3.5,2019-05-01,[42699]
50,29.62,453.85,1.43,3.88,11.59,2019-05-02,[42699]
11,10.26,42.89,2.3,3.91,7.46,2019-05-03,[42699]
2,3.67,4.38,3.31,3.67,4.03,2019-05-04,[42699]
65,4.6,59.33,0.68,1.74,3.29,2019-05-05,[42699]
9,12.02,70.37,1.04,2.76,4.23,2019-05-06,[42699]
61,31.81,236.73,2.53,4.94,21.69,2019-05-07,[42699]
138,46.03,1207.5,2.08,6.74,44.98,2019-05-08,[42699]
102,19.18,243.1,1.32,3.69,12.34,2019-05-09,[42699]
211,12.17,233.27,2.04,4.7,11.2,2019-05-10,[42699]
315,3.39,37.5,1.0,2.03,3.33,2019-05-11,[42699]
93,7.09,54.61,1.08,2.26,5.84,2019-05-12,[42699]
26,5.51,77.99,1.27,1.86,3.5,2019-05-13,[42699]
77,12.3,189.64,1.57,2.66,9.37,2019-05-14,[42699]
369,4.1,50.72,1.0,2.16,3.99,2019-05-15,[42699]
257,13.58,255.7,1.37,2.99,10.43,2019-05-16,[42699]
253,4.82,63.71,1.04,2.27,4.0,2019-05-17,[42699]
0,,,,0.0,,2019-05-18,[42699]
0,,,,0.0,,2019-05-19,[42699]
168,3.05,28.2,0.71,1.64,3.35,2019-05-20,[42699]
55,3.12,34.45,1.04,2.49,3.86,2019-05-21,[42699]
30,2.87,11.43,0.87,2.06,3.94,2019-05-22,[42699]
17,24.38,93.83,0.66,1.87,33.28,2019-05-23,[42699]
1,0.34,0.34,0.34,0.34,0.34,2019-05-24,[42699]
0,,,,0.0,,2019-05-25,[42699]
1,1.16,1.16,1.16,1.16,1.16,2019-05-26,[42699]
10,1.79,6.76,0.52,1.5,2.16,2019-05-27,[42699]
31,2.47,11.07,0.82,1.56,2.8,2019-05-28,[42699]
12,1.9,5.01,0.6,1.46,2.57,2019-05-29,[42699]
4,1.64,3.4,0.76,1.35,2.23,2019-05-30,[42699]
41,6.24,72.18,0.79,2.03,3.76,2019-05-31,[42699]
0,,,,0.0,,2019-06-01,[42699]
6,3.19,5.46,1.89,3.78,4.0,2019-06-02,[42699]
328,7.09,355.29,1.06,2.06,4.07,2019-06-03,[42699]
229,4.51,57.23,0.9,1.93,3.31,2019-06-04,[42699]
153,3.75,84.66,0.72,1.52,2.78,2019-06-05,[42699]
327,6.94,210.03,1.05,2.12,5.49,2019-06-06,[42699]
364,5.92,109.04,0.99,1.97,4.2,2019-06-07,[42699]
229,8.52,127.63,1.21,2.87,7.87,2019-06-08,[42699]
28,1.88,4.33,0.96,1.8,3.02,2019-06-09,[42699]
150,3.27,25.35,1.03,1.78,2.99,2019-06-10,[42699]
49,5.54,40.05,0.84,2.06,5.12,2019-06-11,[42699]
16,2.13,7.21,1.07,1.83,2.65,2019-06-12,[42699]
27,6.02,33.46,1.1,2.02,5.32,2019-06-13,[42699]
41,7.21,45.73,2.83,6.39,8.37,2019-06-14,[42699]
0,,,,0.0,,2019-06-15,[42699]
4,1.82,3.02,1.24,1.62,2.19,2019-06-16,[42699]
47,5.68,57.56,1.66,2.67,3.96,2019-06-17,[42699]
61,2.54,25.7,0.7,1.62,2.6,2019-06-18,[42699]
217,3.67,73.1,0.87,1.8,2.73,2019-06-19,[42699]
123,7.45,120.3,1.2,2.6,6.6,2019-06-20,[42699]
127,2.88,34.56,0.42,0.92,2.56,2019-06-21,[42699]
39,3.8,100.82,0.3,0.64,1.2,2019-06-22,[42699]
75,4.73,54.49,0.48,1.09,3.74,2019-06-23,[42699]
503,8.99,377.51,1.05,2.62,5.54,2019-06-24,[42699]
331,15.69,260.2,1.78,4.19,13.74,2019-06-25,[42699]
217,10.94,126.98,1.6,4.12,12.42,2019-06-26,[42699]
255,25.36,601.07,1.8,5.81,20.56,2019-06-27,[42699]
280,11.34,248.52,1.52,2.63,5.71,2019-06-28,[42699]
2185,14.87,997.23,1.83,4.18,14.58,2019-06-29,[42699]
269,14.57,110.9,2.08,5.93,19.63,2019-06-30,[42699]
0,,,,0.0,,2019-07-01,[42699]
2,2.01,2.02,2.0,2.01,2.02,2019-07-02,[42699]
