count,mean,pct100,pct25,pct50,pct75,time,zoneIds
9,2.68,13.01,0.52,1.27,2.72,2019-03-20,[36507]
23,2.06,6.87,0.6,1.68,2.96,2019-03-21,[36507]
16,4.42,19.94,1.56,2.0,4.27,2019-03-22,[36507]
0,,,,0.0,,2019-03-23,[36507]
37,24.28,114.58,3.62,10.41,32.27,2019-03-24,[36507]
55,20.79,163.64,1.48,3.58,13.6,2019-03-25,[36507]
70,5.18,81.73,1.26,2.53,4.22,2019-03-26,[36507]
50,2.77,19.3,1.02,1.65,3.61,2019-03-27,[36507]
18,1.91,5.33,0.95,1.32,2.84,2019-03-28,[36507]
27,2.42,8.34,0.5,2.02,3.12,2019-03-29,[36507]
21,1.9,4.96,1.04,1.57,2.27,2019-03-30,[36507]
32,1.66,4.22,1.05,1.57,2.33,2019-03-31,[36507]
26,3.22,23.08,0.97,1.86,3.58,2019-04-01,[36507]
65,5.97,58.78,1.45,2.55,5.74,2019-04-02,[36507]
0,,,,0.0,,2019-04-03,[36507]
0,,,,0.0,,2019-04-04,[36507]
0,,,,0.0,,2019-04-05,[36507]
0,,,,0.0,,2019-04-06,[36507]
0,,,,0.0,,2019-04-07,[36507]
8,3.57,11.5,1.25,2.34,4.68,2019-04-08,[36507]
59,3.69,42.64,1.06,2.08,4.46,2019-04-09,[36507]
22,4.48,35.39,1.82,2.65,4.12,2019-04-10,[36507]
35,2.39,12.97,1.16,2.04,2.72,2019-04-11,[36507]
13,8.66,46.8,1.52,2.12,3.1,2019-04-12,[36507]
15,3.16,9.07,1.08,2.42,4.67,2019-04-13,[36507]
7,2.48,7.87,1.3,1.55,2.46,2019-04-14,[36507]
11,4.0,23.06,0.68,1.5,3.39,2019-04-15,[36507]
62,4.71,41.2,1.06,2.43,4.19,2019-04-16,[36507]
56,5.2,25.45,1.82,4.04,6.56,2019-04-17,[36507]
0,,,,0.0,,2019-04-18,[36507]
0,,,,0.0,,2019-04-19,[36507]
0,,,,0.0,,2019-04-20,[36507]
0,,,,0.0,,2019-04-21,[36507]
0,,,,0.0,,2019-04-22,[36507]
0,,,,0.0,,2019-04-23,[36507]
0,,,,0.0,,2019-04-24,[36507]
0,,,,0.0,,2019-04-25,[36507]
0,,,,0.0,,2019-04-26,[36507]
0,,,,0.0,,2019-04-27,[36507]
0,,,,0.0,,2019-04-28,[36507]
0,,,,0.0,,2019-04-29,[36507]
0,,,,0.0,,2019-04-30,[36507]
0,,,,0.0,,2019-05-01,[36507]
0,,,,0.0,,2019-05-02,[36507]
0,,,,0.0,,2019-05-03,[36507]
0,,,,0.0,,2019-05-04,[36507]
0,,,,0.0,,2019-05-05,[36507]
0,,,,0.0,,2019-05-06,[36507]
0,,,,0.0,,2019-05-07,[36507]
0,,,,0.0,,2019-05-08,[36507]
0,,,,0.0,,2019-05-09,[36507]
0,,,,0.0,,2019-05-10,[36507]
0,,,,0.0,,2019-05-11,[36507]
0,,,,0.0,,2019-05-12,[36507]
0,,,,0.0,,2019-05-13,[36507]
0,,,,0.0,,2019-05-14,[36507]
0,,,,0.0,,2019-05-15,[36507]
0,,,,0.0,,2019-05-16,[36507]
0,,,,0.0,,2019-05-17,[36507]
0,,,,0.0,,2019-05-18,[36507]
0,,,,0.0,,2019-05-19,[36507]
0,,,,0.0,,2019-05-20,[36507]
84,24.83,590.03,2.17,4.52,10.81,2019-05-21,[36507]
144,3.89,80.77,1.37,2.28,3.97,2019-05-22,[36507]
33,2.97,13.03,0.89,2.53,4.18,2019-05-23,[36507]
53,3.7,21.88,1.52,2.52,4.68,2019-05-24,[36507]
12,3.44,6.08,2.48,3.28,4.8,2019-05-25,[36507]
20,3.27,10.16,1.16,2.68,5.32,2019-05-26,[36507]
41,3.04,7.74,1.57,2.67,4.1,2019-05-27,[36507]
25,8.14,120.82,1.52,2.83,5.22,2019-05-28,[36507]
45,3.04,10.71,1.05,2.64,4.27,2019-05-29,[36507]
76,4.64,81.26,1.57,2.8,5.13,2019-05-30,[36507]
179,5.0,107.66,1.06,2.4,3.74,2019-05-31,[36507]
46,3.62,16.71,1.94,3.1,4.75,2019-06-01,[36507]
27,4.57,26.68,1.8,2.59,5.4,2019-06-02,[36507]
119,3.01,13.56,1.58,2.56,3.84,2019-06-03,[36507]
315,5.62,58.22,1.58,3.19,6.82,2019-06-04,[36507]
45,3.9,29.23,1.29,2.6,3.92,2019-06-05,[36507]
63,3.27,11.14,1.84,2.64,3.88,2019-06-06,[36507]
66,3.08,15.2,1.08,2.0,3.64,2019-06-07,[36507]
29,2.68,11.22,1.1,2.17,3.63,2019-06-08,[36507]
21,3.92,9.61,2.51,3.61,6.02,2019-06-09,[36507]
52,3.38,14.35,1.5,2.78,4.1,2019-06-10,[36507]
94,2.99,21.52,1.1,2.12,3.61,2019-06-11,[36507]
92,3.16,10.95,1.51,2.85,4.78,2019-06-12,[36507]
42,3.09,8.35,1.95,2.82,3.69,2019-06-13,[36507]
105,3.22,30.16,1.56,2.44,4.04,2019-06-14,[36507]
18,2.62,6.24,0.94,1.9,4.6,2019-06-15,[36507]
53,3.52,28.18,1.28,2.56,4.17,2019-06-16,[36507]
85,4.1,28.11,2.05,2.94,4.67,2019-06-17,[36507]
80,4.06,55.6,1.23,2.24,3.99,2019-06-18,[36507]
123,3.46,24.44,1.58,2.65,4.5,2019-06-19,[36507]
314,5.94,103.13,1.42,2.7,5.47,2019-06-20,[36507]
67,3.11,16.16,1.06,2.48,4.18,2019-06-21,[36507]
9,3.11,13.49,1.32,1.87,2.74,2019-06-22,[36507]
42,3.25,12.41,1.06,2.62,4.36,2019-06-23,[36507]
330,5.44,120.42,1.01,2.11,4.71,2019-06-24,[36507]
123,6.39,227.9,1.06,2.39,6.08,2019-06-25,[36507]
59,3.8,23.9,1.2,1.78,3.34,2019-06-26,[36507]
68,5.52,30.4,1.11,2.64,6.44,2019-06-27,[36507]
169,7.55,155.82,1.3,2.9,8.84,2019-06-28,[36507]
772,22.91,819.73,1.21,3.0,10.9,2019-06-29,[36507]
266,45.88,4081.97,1.54,3.7,11.45,2019-06-30,[36507]
28,4.3,15.7,1.94,2.64,6.0,2019-07-01,[36507]
28,3.45,31.89,0.87,1.17,4.05,2019-07-02,[36507]
40,8.18,54.06,1.06,2.91,7.62,2019-07-03,[36507]
66,66.02,2886.5,1.65,6.21,12.72,2019-07-04,[36507]
217,77.59,8635.96,5.7,11.93,22.87,2019-07-05,[36507]
217,70.61,2261.65,5.25,12.97,37.51,2019-07-06,[36507]
259,107.2,10896.87,4.19,9.97,28.61,2019-07-07,[36507]
374,51.07,5070.35,3.1,8.3,24.83,2019-07-08,[36507]
389,146.81,17304.04,4.19,12.99,36.4,2019-07-09,[36507]
351,162.64,17252.47,3.64,10.38,32.49,2019-07-10,[36507]
467,132.67,19332.14,5.72,13.52,35.63,2019-07-11,[36507]
459,80.62,7129.0,5.26,14.05,35.16,2019-07-12,[36507]
350,98.05,13932.73,5.24,11.94,30.52,2019-07-13,[36507]
267,103.76,11445.97,5.23,10.95,24.16,2019-07-14,[36507]
163,75.67,6062.54,2.08,5.11,10.96,2019-07-15,[36507]
38,4.07,32.29,1.0,1.58,3.49,2019-07-16,[36507]
55,9.88,145.17,1.48,2.64,6.43,2019-07-17,[36507]
39,4.18,26.06,1.66,3.13,5.02,2019-07-18,[36507]
19,5.3,18.25,1.94,4.1,6.32,2019-07-19,[36507]
22,8.47,103.93,1.31,2.62,3.72,2019-07-20,[36507]
39,4.05,28.19,1.35,2.38,4.41,2019-07-21,[36507]
212,4.4,34.48,1.13,2.58,5.34,2019-07-22,[36507]
25,4.25,13.55,2.0,3.16,5.22,2019-07-23,[36507]
58,3.83,27.06,1.4,2.13,3.5,2019-07-24,[36507]
36,7.07,81.29,1.56,2.26,3.85,2019-07-25,[36507]
16,7.1,77.61,0.62,2.0,3.48,2019-07-26,[36507]
8,0.96,3.58,0.27,0.52,0.95,2019-07-27,[36507]
34,16.2,155.59,1.52,3.14,8.57,2019-07-28,[36507]
122,5.88,80.73,1.3,3.0,5.76,2019-07-29,[36507]
812,4.2,80.09,1.1,2.54,5.22,2019-07-30,[36507]
274,2.91,52.51,0.87,1.75,3.57,2019-07-31,[36507]
261,3.77,25.5,1.3,2.58,4.64,2019-08-01,[36507]
180,2.76,25.58,1.1,2.07,3.66,2019-08-02,[36507]
22,3.25,12.54,1.54,2.38,4.2,2019-08-03,[36507]
47,8.24,86.52,1.56,2.78,8.22,2019-08-04,[36507]
12,4.55,18.24,2.27,3.46,4.7,2019-08-05,[36507]
251,3.27,20.47,1.22,2.11,4.1,2019-08-06,[36507]
212,3.03,12.5,1.17,2.26,4.16,2019-08-07,[36507]
462,6.47,223.13,1.06,2.33,5.26,2019-08-08,[36507]
548,4.24,65.45,1.11,2.44,4.4,2019-08-09,[36507]
237,3.9,31.79,1.17,2.62,4.71,2019-08-10,[36507]
43,4.04,18.21,1.66,3.11,5.36,2019-08-11,[36507]
513,4.0,31.72,1.43,2.62,5.22,2019-08-12,[36507]
488,3.65,46.03,1.12,2.12,4.49,2019-08-13,[36507]
289,4.96,62.47,1.32,2.61,4.7,2019-08-14,[36507]
1315,10.07,281.52,1.59,3.67,8.8,2019-08-15,[36507]
80,3.7,26.61,1.52,2.96,4.23,2019-08-16,[36507]
314,3.44,40.91,1.05,2.09,4.18,2019-08-17,[36507]
294,2.89,31.68,1.05,1.94,3.63,2019-08-18,[36507]
359,4.1,67.12,1.25,2.59,5.23,2019-08-19,[36507]
56,4.11,15.93,1.6,3.62,5.36,2019-08-20,[36507]
46,3.15,10.3,1.92,2.57,3.91,2019-08-21,[36507]
33,3.49,8.81,1.71,3.09,4.61,2019-08-22,[36507]
23,4.26,7.85,2.99,4.64,5.7,2019-08-23,[36507]
19,4.16,14.78,1.58,3.29,5.02,2019-08-24,[36507]
86,3.78,19.24,1.56,2.77,4.49,2019-08-25,[36507]
69,3.31,8.18,2.11,3.09,4.43,2019-08-26,[36507]
33,2.92,11.47,1.04,2.62,3.7,2019-08-27,[36507]
64,4.11,17.08,1.95,3.16,5.8,2019-08-28,[36507]
53,3.02,31.51,1.36,2.1,3.16,2019-08-29,[36507]
91,2.85,8.09,1.37,2.58,4.16,2019-08-30,[36507]
194,3.78,25.83,1.04,2.22,4.33,2019-08-31,[36507]
42,4.43,13.26,2.12,3.8,5.74,2019-09-01,[36507]
28,4.25,13.32,1.63,4.37,5.48,2019-09-02,[36507]
230,4.93,43.87,1.35,3.12,5.7,2019-09-03,[36507]
54,5.07,20.74,2.6,4.39,6.15,2019-09-04,[36507]
635,8.57,191.52,1.57,3.09,7.79,2019-09-05,[36507]
269,5.54,79.11,1.56,2.79,5.19,2019-09-06,[36507]
26,18.35,118.6,3.15,7.27,18.29,2019-09-07,[36507]
236,2.94,17.52,1.05,1.87,3.8,2019-09-08,[36507]
187,7.35,220.23,1.57,2.63,5.14,2019-09-09,[36507]
295,15.61,575.41,1.81,4.19,10.34,2019-09-10,[36507]
56,3.57,18.41,1.58,2.67,4.4,2019-09-11,[36507]
155,3.58,43.14,1.05,2.05,3.69,2019-09-12,[36507]
164,3.59,30.19,1.64,2.9,4.63,2019-09-13,[36507]
23,3.43,10.52,1.57,2.84,4.75,2019-09-14,[36507]
51,3.76,18.19,1.56,2.6,4.68,2019-09-15,[36507]
98,4.46,30.81,1.55,2.72,4.99,2019-09-16,[36507]
218,4.92,56.86,1.23,2.44,4.68,2019-09-17,[36507]
105,7.39,95.2,1.56,2.99,5.6,2019-09-18,[36507]
94,4.0,27.31,1.05,2.62,4.65,2019-09-19,[36507]
43,4.11,13.62,1.56,3.65,4.99,2019-09-20,[36507]
138,4.03,21.89,1.25,2.61,5.13,2019-09-21,[36507]
141,3.66,15.6,1.56,2.64,5.13,2019-09-22,[36507]
134,4.03,25.54,1.67,3.32,5.27,2019-09-23,[36507]
77,3.3,20.41,1.11,2.1,4.14,2019-09-24,[36507]
336,3.86,73.95,1.16,2.41,4.29,2019-09-25,[36507]
257,5.38,119.13,1.56,3.07,5.24,2019-09-26,[36507]
218,4.08,39.81,1.33,2.62,4.7,2019-09-27,[36507]
12,2.15,5.19,1.04,1.92,2.49,2019-09-28,[36507]
37,2.97,11.98,1.07,2.63,3.82,2019-09-29,[36507]
137,4.56,64.85,1.42,2.62,4.46,2019-09-30,[36507]
101,6.82,80.69,1.56,2.85,5.23,2019-10-01,[36507]
89,3.17,14.97,1.58,2.71,4.6,2019-10-02,[36507]
104,3.83,35.53,1.11,2.21,4.57,2019-10-03,[36507]
145,3.63,16.92,1.57,2.9,4.5,2019-10-04,[36507]
11,5.73,15.04,2.99,5.2,7.59,2019-10-05,[36507]
42,2.93,8.83,1.47,2.28,4.03,2019-10-06,[36507]
141,3.92,21.4,1.55,2.77,5.14,2019-10-07,[36507]
410,3.05,62.39,1.05,2.02,3.33,2019-10-08,[36507]
