count,mean,pct100,pct25,pct50,pct75,time,zoneIds
11,46.26,161.58,0.95,4.17,87.04,2019-03-20,[36508]
12,2.12,9.43,0.72,1.3,2.29,2019-03-21,[36508]
1,0.02,0.02,0.02,0.02,0.02,2019-03-22,[36508]
2,2.11,3.55,1.39,2.11,2.83,2019-03-23,[36508]
6,0.38,0.83,0.18,0.33,0.5,2019-03-24,[36508]
8,4.12,15.65,1.32,2.48,4.69,2019-03-25,[36508]
19,11.7,188.39,0.12,0.7,4.19,2019-03-26,[36508]
19,1.74,8.35,0.4,0.97,2.28,2019-03-27,[36508]
16,11.47,54.46,1.75,5.38,11.44,2019-03-28,[36508]
9,1.65,9.78,0.24,0.56,0.84,2019-03-29,[36508]
7,1.9,8.84,0.32,0.46,1.62,2019-03-30,[36508]
25,10.81,58.07,1.01,4.13,17.74,2019-03-31,[36508]
45,11.43,119.51,0.82,4.16,10.45,2019-04-01,[36508]
108,5.86,69.5,0.6,1.46,4.54,2019-04-02,[36508]
0,,,,0.0,,2019-04-03,[36508]
0,,,,0.0,,2019-04-04,[36508]
0,,,,0.0,,2019-04-05,[36508]
0,,,,0.0,,2019-04-06,[36508]
0,,,,0.0,,2019-04-07,[36508]
3,0.42,0.94,0.16,0.28,0.61,2019-04-08,[36508]
19,4.09,23.17,1.72,2.34,3.28,2019-04-09,[36508]
8,2.51,5.7,1.32,2.45,3.38,2019-04-10,[36508]
10,1.46,2.56,0.73,1.76,2.07,2019-04-11,[36508]
6,14.6,79.76,0.26,1.04,4.52,2019-04-12,[36508]
4,1.87,3.16,1.03,1.69,2.53,2019-04-13,[36508]
3,3.69,9.38,0.84,0.94,5.16,2019-04-14,[36508]
6,1.31,3.86,0.06,0.66,2.28,2019-04-15,[36508]
29,3.34,21.75,1.4,2.19,3.07,2019-04-16,[36508]
9,2.69,10.53,1.41,1.79,2.39,2019-04-17,[36508]
0,,,,0.0,,2019-04-18,[36508]
0,,,,0.0,,2019-04-19,[36508]
0,,,,0.0,,2019-04-20,[36508]
0,,,,0.0,,2019-04-21,[36508]
0,,,,0.0,,2019-04-22,[36508]
0,,,,0.0,,2019-04-23,[36508]
0,,,,0.0,,2019-04-24,[36508]
0,,,,0.0,,2019-04-25,[36508]
0,,,,0.0,,2019-04-26,[36508]
0,,,,0.0,,2019-04-27,[36508]
0,,,,0.0,,2019-04-28,[36508]
0,,,,0.0,,2019-04-29,[36508]
0,,,,0.0,,2019-04-30,[36508]
0,,,,0.0,,2019-05-01,[36508]
0,,,,0.0,,2019-05-02,[36508]
0,,,,0.0,,2019-05-03,[36508]
0,,,,0.0,,2019-05-04,[36508]
0,,,,0.0,,2019-05-05,[36508]
0,,,,0.0,,2019-05-06,[36508]
0,,,,0.0,,2019-05-07,[36508]
0,,,,0.0,,2019-05-08,[36508]
0,,,,0.0,,2019-05-09,[36508]
0,,,,0.0,,2019-05-10,[36508]
0,,,,0.0,,2019-05-11,[36508]
0,,,,0.0,,2019-05-12,[36508]
0,,,,0.0,,2019-05-13,[36508]
0,,,,0.0,,2019-05-14,[36508]
0,,,,0.0,,2019-05-15,[36508]
0,,,,0.0,,2019-05-16,[36508]
0,,,,0.0,,2019-05-17,[36508]
0,,,,0.0,,2019-05-18,[36508]
0,,,,0.0,,2019-05-19,[36508]
0,,,,0.0,,2019-05-20,[36508]
6,1.56,4.9,0.72,1.06,1.42,2019-05-21,[36508]
75,19.62,146.53,1.92,7.82,23.6,2019-05-22,[36508]
3,0.75,1.05,0.6,1.01,1.03,2019-05-23,[36508]
23,14.69,57.78,3.92,9.38,22.74,2019-05-24,[36508]
4,4.56,12.49,1.78,2.05,4.83,2019-05-25,[36508]
42,108.12,1259.54,3.2,12.24,40.19,2019-05-26,[36508]
51,139.54,2711.31,3.62,8.86,26.54,2019-05-27,[36508]
0,,,,0.0,,2019-05-28,[36508]
69,30.08,408.98,3.14,9.91,23.57,2019-05-29,[36508]
94,42.09,505.64,3.1,7.06,33.54,2019-05-30,[36508]
139,57.48,2349.72,2.62,6.77,26.47,2019-05-31,[36508]
29,6.31,68.71,1.05,2.56,5.23,2019-06-01,[36508]
51,50.1,510.77,4.4,11.49,37.24,2019-06-02,[36508]
167,65.44,1287.82,5.76,18.15,48.73,2019-06-03,[36508]
75,5.12,42.19,0.66,2.57,5.74,2019-06-04,[36508]
12,1.76,5.48,0.51,1.39,2.12,2019-06-05,[36508]
20,2.6,14.59,1.2,1.82,2.97,2019-06-06,[36508]
15,2.64,24.65,0.48,1.05,1.9,2019-06-07,[36508]
14,5.35,34.27,1.05,2.0,3.74,2019-06-08,[36508]
25,1.42,3.26,0.55,1.72,2.01,2019-06-09,[36508]
28,4.73,57.27,1.02,1.93,3.96,2019-06-10,[36508]
38,4.11,41.02,0.88,1.52,2.63,2019-06-11,[36508]
71,7.12,77.06,0.74,2.07,6.48,2019-06-12,[36508]
8,1.4,3.59,0.27,0.97,2.3,2019-06-13,[36508]
19,2.69,16.44,0.72,1.06,2.2,2019-06-14,[36508]
2,34.0,67.56,17.22,34.0,50.78,2019-06-15,[36508]
13,2.81,14.54,1.16,1.36,3.09,2019-06-16,[36508]
11,1.53,4.89,0.57,1.34,1.94,2019-06-17,[36508]
15,3.22,22.36,0.84,1.8,2.31,2019-06-18,[36508]
40,2.31,14.45,0.36,1.48,2.17,2019-06-19,[36508]
45,3.89,56.37,1.14,2.05,3.65,2019-06-20,[36508]
16,0.99,3.41,0.2,0.39,1.6,2019-06-21,[36508]
3,1.47,1.81,1.31,1.62,1.72,2019-06-22,[36508]
9,1.87,6.3,0.25,1.05,2.12,2019-06-23,[36508]
28,2.34,22.04,0.4,0.72,1.94,2019-06-24,[36508]
47,4.49,31.57,0.68,1.58,4.65,2019-06-25,[36508]
26,7.03,50.61,0.97,2.46,6.66,2019-06-26,[36508]
22,33.42,315.45,0.75,3.48,21.7,2019-06-27,[36508]
13,2.48,7.84,0.97,2.1,2.7,2019-06-28,[36508]
163,4.94,64.0,0.5,1.24,4.43,2019-06-29,[36508]
12,1.26,4.68,0.48,0.88,1.37,2019-06-30,[36508]
4,8.24,24.73,1.14,3.93,11.04,2019-07-01,[36508]
6,5.72,15.18,1.12,4.14,8.97,2019-07-02,[36508]
5,5.44,22.08,0.74,0.87,3.15,2019-07-03,[36508]
3,1.01,1.92,0.55,0.87,1.4,2019-07-04,[36508]
5,3.88,17.8,0.15,0.3,1.04,2019-07-05,[36508]
1,1.56,1.56,1.56,1.56,1.56,2019-07-06,[36508]
13,9.56,53.79,1.26,1.57,10.02,2019-07-07,[36508]
64,10.77,125.08,0.76,1.9,5.62,2019-07-08,[36508]
18,3.08,30.82,0.4,0.68,1.85,2019-07-09,[36508]
20,16.13,251.54,0.88,1.37,6.53,2019-07-10,[36508]
34,4.9,30.13,1.04,1.81,5.15,2019-07-11,[36508]
13,3.52,11.46,0.54,1.18,4.58,2019-07-12,[36508]
2,5.85,8.63,4.46,5.85,7.24,2019-07-13,[36508]
11,3.15,21.79,0.76,1.08,2.28,2019-07-14,[36508]
25,5.94,28.74,0.82,2.24,7.1,2019-07-15,[36508]
18,2.58,14.73,0.45,1.15,2.24,2019-07-16,[36508]
46,3.71,20.4,0.83,1.46,4.1,2019-07-17,[36508]
15,3.66,19.93,0.78,2.24,4.19,2019-07-18,[36508]
14,5.34,27.19,0.37,1.52,2.35,2019-07-19,[36508]
3,4.57,13.23,0.24,0.43,6.83,2019-07-20,[36508]
18,2.92,16.07,0.51,0.93,2.74,2019-07-21,[36508]
69,7.08,61.82,0.74,2.25,8.02,2019-07-22,[36508]
4,0.34,0.62,0.24,0.36,0.46,2019-07-23,[36508]
108,35.11,511.36,2.01,9.68,27.38,2019-07-24,[36508]
32,8.01,94.32,0.38,2.24,4.65,2019-07-25,[36508]
3,1.76,2.67,1.31,1.55,2.11,2019-07-26,[36508]
1,0.64,0.64,0.64,0.64,0.64,2019-07-27,[36508]
6,1.22,2.2,0.7,1.3,1.72,2019-07-28,[36508]
15,2.2,9.5,0.62,0.78,2.6,2019-07-29,[36508]
11,9.35,91.43,0.47,0.99,1.68,2019-07-30,[36508]
12,1.83,7.8,0.58,1.01,2.01,2019-07-31,[36508]
25,2.49,11.45,0.75,1.56,2.63,2019-08-01,[36508]
8,1.51,5.71,0.14,0.58,2.34,2019-08-02,[36508]
1,1.45,1.45,1.45,1.45,1.45,2019-08-03,[36508]
12,9.31,55.53,0.47,2.0,7.9,2019-08-04,[36508]
1,1.2,1.2,1.2,1.2,1.2,2019-08-05,[36508]
2,1.89,3.24,1.21,1.89,2.56,2019-08-06,[36508]
6,1.04,3.63,0.34,0.46,1.07,2019-08-07,[36508]
86,30.97,295.37,1.42,4.36,26.44,2019-08-08,[36508]
47,7.61,145.11,0.49,1.5,5.3,2019-08-09,[36508]
3,0.37,0.52,0.3,0.45,0.48,2019-08-10,[36508]
7,1.37,3.39,0.3,1.07,2.24,2019-08-11,[36508]
23,3.05,13.54,0.52,1.35,3.6,2019-08-12,[36508]
28,14.73,119.46,1.23,3.22,10.76,2019-08-13,[36508]
13,6.36,22.37,1.54,3.65,10.43,2019-08-14,[36508]
50,5.34,62.99,0.91,2.06,3.3,2019-08-15,[36508]
5,13.66,30.33,6.71,7.82,23.41,2019-08-16,[36508]
6,0.97,2.06,0.64,0.88,1.23,2019-08-17,[36508]
7,4.4,22.08,1.23,1.69,1.96,2019-08-18,[36508]
19,2.07,6.28,0.42,1.41,3.91,2019-08-19,[36508]
19,6.55,30.67,0.86,3.29,10.14,2019-08-20,[36508]
3,2.32,4.14,1.41,1.81,2.97,2019-08-21,[36508]
3,2.31,4.32,1.31,1.59,2.96,2019-08-22,[36508]
10,5.39,22.39,1.91,2.36,5.21,2019-08-23,[36508]
1,1.74,1.74,1.74,1.74,1.74,2019-08-24,[36508]
11,6.56,33.07,0.66,1.37,9.23,2019-08-25,[36508]
14,2.23,5.89,0.81,1.39,3.35,2019-08-26,[36508]
0,,,,0.0,,2019-08-27,[36508]
12,11.43,37.65,2.1,3.5,20.82,2019-08-28,[36508]
7,4.47,16.72,0.75,2.54,4.98,2019-08-29,[36508]
2,1.55,1.81,1.42,1.55,1.68,2019-08-30,[36508]
3,1.6,3.66,0.57,1.05,2.36,2019-08-31,[36508]
5,3.78,8.39,0.74,2.43,6.7,2019-09-01,[36508]
2,0.45,0.56,0.39,0.45,0.5,2019-09-02,[36508]
5,5.72,18.83,1.88,2.28,5.2,2019-09-03,[36508]
11,13.49,74.48,0.62,1.67,6.26,2019-09-04,[36508]
1,0.97,0.97,0.97,0.97,0.97,2019-09-05,[36508]
15,19.8,102.85,1.3,3.14,23.02,2019-09-06,[36508]
0,,,,0.0,,2019-09-07,[36508]
8,2.82,12.72,0.69,1.1,2.56,2019-09-08,[36508]
5,0.95,1.58,0.97,1.01,1.14,2019-09-09,[36508]
50,8.44,105.49,0.73,2.5,6.88,2019-09-10,[36508]
6,2.12,4.69,1.09,2.04,2.48,2019-09-11,[36508]
10,2.78,11.38,0.73,1.52,3.58,2019-09-12,[36508]
13,1.33,3.9,0.37,1.02,1.95,2019-09-13,[36508]
2,0.44,0.54,0.4,0.44,0.49,2019-09-14,[36508]
2,0.38,0.6,0.28,0.38,0.49,2019-09-15,[36508]
0,,,,0.0,,2019-09-16,[36508]
8,8.48,53.34,0.52,2.58,3.88,2019-09-17,[36508]
12,1.18,4.69,0.46,0.73,1.42,2019-09-18,[36508]
13,6.73,62.99,0.92,1.3,4.17,2019-09-19,[36508]
13,7.02,38.91,0.69,4.67,7.73,2019-09-20,[36508]
4,1.18,2.52,0.67,1.06,1.57,2019-09-21,[36508]
2,0.9,1.37,0.66,0.9,1.13,2019-09-22,[36508]
2,0.89,0.92,0.88,0.89,0.9,2019-09-23,[36508]
