count,mean,pct100,pct25,pct50,pct75,time,zoneIds
7,37.93,142.22,1.53,13.7,52.93,2019-03-20,[36520]
2,5.66,10.43,3.28,5.66,8.04,2019-03-21,[36520]
0,,,,0.0,,2019-03-22,[36520]
2,1.78,2.64,1.35,1.78,2.21,2019-03-23,[36520]
1,0.68,0.68,0.68,0.68,0.68,2019-03-24,[36520]
0,,,,0.0,,2019-03-25,[36520]
6,1.55,5.67,0.46,0.92,1.16,2019-03-26,[36520]
4,15.45,28.6,8.74,15.57,22.28,2019-03-27,[36520]
12,10.22,37.92,0.6,6.33,16.33,2019-03-28,[36520]
0,,,,0.0,,2019-03-29,[36520]
0,,,,0.0,,2019-03-30,[36520]
0,,,,0.0,,2019-03-31,[36520]
0,,,,0.0,,2019-04-01,[36520]
0,,,,0.0,,2019-04-02,[36520]
0,,,,0.0,,2019-04-03,[36520]
0,,,,0.0,,2019-04-04,[36520]
0,,,,0.0,,2019-04-05,[36520]
0,,,,0.0,,2019-04-06,[36520]
0,,,,0.0,,2019-04-07,[36520]
0,,,,0.0,,2019-04-08,[36520]
3,2.35,4.71,1.17,1.83,3.27,2019-04-09,[36520]
0,,,,0.0,,2019-04-10,[36520]
0,,,,0.0,,2019-04-11,[36520]
0,,,,0.0,,2019-04-12,[36520]
0,,,,0.0,,2019-04-13,[36520]
1,0.41,0.41,0.41,0.41,0.41,2019-04-14,[36520]
0,,,,0.0,,2019-04-15,[36520]
3,0.6,0.83,0.49,0.68,0.76,2019-04-16,[36520]
1,0.28,0.28,0.28,0.28,0.28,2019-04-17,[36520]
0,,,,0.0,,2019-04-18,[36520]
0,,,,0.0,,2019-04-19,[36520]
0,,,,0.0,,2019-04-20,[36520]
0,,,,0.0,,2019-04-21,[36520]
0,,,,0.0,,2019-04-22,[36520]
2,1.23,1.8,0.94,1.23,1.52,2019-04-23,[36520]
4,1.52,3.74,0.72,1.0,1.8,2019-04-24,[36520]
0,,,,0.0,,2019-04-25,[36520]
7,0.9,3.07,0.16,0.26,1.32,2019-04-26,[36520]
1,2.46,2.46,2.46,2.46,2.46,2019-04-27,[36520]
0,,,,0.0,,2019-04-28,[36520]
0,,,,0.0,,2019-04-29,[36520]
0,,,,0.0,,2019-04-30,[36520]
1,2.86,2.86,2.86,2.86,2.86,2019-05-01,[36520]
0,,,,0.0,,2019-05-02,[36520]
0,,,,0.0,,2019-05-03,[36520]
0,,,,0.0,,2019-05-04,[36520]
0,,,,0.0,,2019-05-05,[36520]
4,0.22,0.46,0.11,0.18,0.28,2019-05-06,[36520]
5,22.63,92.59,2.92,3.32,13.27,2019-05-07,[36520]
0,,,,0.0,,2019-05-08,[36520]
0,,,,0.0,,2019-05-09,[36520]
5,1.15,3.46,0.1,0.56,1.58,2019-05-10,[36520]
0,,,,0.0,,2019-05-11,[36520]
0,,,,0.0,,2019-05-12,[36520]
0,,,,0.0,,2019-05-13,[36520]
0,,,,0.0,,2019-05-14,[36520]
0,,,,0.0,,2019-05-15,[36520]
0,,,,0.0,,2019-05-16,[36520]
0,,,,0.0,,2019-05-17,[36520]
0,,,,0.0,,2019-05-18,[36520]
0,,,,0.0,,2019-05-19,[36520]
0,,,,0.0,,2019-05-20,[36520]
1,0.32,0.32,0.32,0.32,0.32,2019-05-21,[36520]
3,2.73,4.54,1.82,2.11,3.32,2019-05-22,[36520]
0,,,,0.0,,2019-05-23,[36520]
2,27.85,52.07,15.74,27.85,39.96,2019-05-24,[36520]
0,,,,0.0,,2019-05-25,[36520]
0,,,,0.0,,2019-05-26,[36520]
